artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Alfred_Sisley,Alfred_Sisley_206.jpg,#646d6c,#232e2e,#a6aeb0,323160,181459,143642
Alfred_Sisley,Alfred_Sisley_38.jpg,#59615e,#a89b8c,#19211c,576814,316506,313720
Alfred_Sisley,Alfred_Sisley_65.jpg,#73867e,#d3dfde,#45524a,332845,210028,371559
Alfred_Sisley,Alfred_Sisley_42.jpg,#47534f,#a7b4b4,#667d8d,196831,332500,332877
Alfred_Sisley,Alfred_Sisley_211.jpg,#b2bab7,#1e2535,#646b6b,250779,100741,63725
Alfred_Sisley,Alfred_Sisley_125.jpg,#d9c8be,#2e5664,#517e90,1537067,509662,478671
Alfred_Sisley,Alfred_Sisley_6.jpg,#8d9c9e,#cac8c8,#576366,637415,460259,243326
Alfred_Sisley,Alfred_Sisley_92.jpg,#314553,#84a4b7,#648091,2148925,345021,161399
Alfred_Sisley,Alfred_Sisley_61.jpg,#c6c5bc,#415055,#839194,826053,313910,281317
Alfred_Sisley,Alfred_Sisley_163.jpg,#48515b,#7e8280,#9eadae,299187,290336,254253
Alfred_Sisley,Alfred_Sisley_135.jpg,#cedee7,#858c95,#2f2e32,376255,165880,165449
Alfred_Sisley,Alfred_Sisley_110.jpg,#4c6276,#a9aeb2,#121e2a,1431424,607696,928774
Alfred_Sisley,Alfred_Sisley_44.jpg,#a4b4bd,#838e97,#625f5c,572411,247925,832784
Alfred_Sisley,Alfred_Sisley_73.jpg,#878f98,#cecfd3,#4d5255,575452,366275,477393
Alfred_Sisley,Alfred_Sisley_114.jpg,#a08e75,#235057,#458494,819674,768736,510390
Alfred_Sisley,Alfred_Sisley_186.jpg,#364c4a,#d9d4c5,#6c8790,335259,288820,231985
Alfred_Sisley,Alfred_Sisley_118.jpg,#36587a,#79a8b7,#82715e,1355615,2744286,1081147
Alfred_Sisley,Alfred_Sisley_14.jpg,#35474d,#597986,#b9c3be,863947,911201,594480
Alfred_Sisley,Alfred_Sisley_198.jpg,#71696b,#9e9193,#2e343c,158494,141742,168564
Alfred_Sisley,Alfred_Sisley_21.jpg,#4e5a52,#b7ad86,#738a90,267328,220896,241888
Alfred_Sisley,Alfred_Sisley_202.jpg,#a48f84,#d8d3cc,#3b4042,323450,325030,150240
Alfred_Sisley,Alfred_Sisley_152.jpg,#384448,#b6b8b1,#717c7b,226347,191487,671446
Alfred_Sisley,Alfred_Sisley_222.jpg,#d2c7bd,#6d8691,#3b454a,268263,248834,192535
Alfred_Sisley,Alfred_Sisley_69.jpg,#998980,#beb9b5,#4f5053,139850,366012,386042
Alfred_Sisley,Alfred_Sisley_45.jpg,#1d4446,#909b95,#c2cbc2,546094,1035983,528899
Alfred_Sisley,Alfred_Sisley_200.jpg,#a5a29f,#63737c,#aac2cf,479557,1083705,292238
Alfred_Sisley,Alfred_Sisley_24.jpg,#bca598,#25404f,#73787d,666174,333450,215864
Alfred_Sisley,Alfred_Sisley_194.jpg,#b8af9f,#717a83,#404c4b,509701,867608,1301724
Alfred_Sisley,Alfred_Sisley_168.jpg,#4e5c57,#b1b5b1,#838f90,849381,2087633,298361
Alfred_Sisley,Alfred_Sisley_231.jpg,#ece8cc,#7a9ca7,#675e4d,2019140,1674319,829797
Alfred_Sisley,Alfred_Sisley_145.jpg,#3d6661,#19251a,#b2b3a6,237938,296540,279752
Alfred_Sisley,Alfred_Sisley_128.jpg,#aba8a1,#546464,#272d26,608462,347608,394930
Alfred_Sisley,Alfred_Sisley_250.jpg,#5f877c,#c0b9a6,#3c5041,269611,188295,174926
Alfred_Sisley,Alfred_Sisley_256.jpg,#c3c0b6,#d3d5d1,#889799,80730,314387,467091
Alfred_Sisley,Alfred_Sisley_167.jpg,#a8adac,#6f726e,#2f2e25,532414,292406,302860
Alfred_Sisley,Alfred_Sisley_150.jpg,#dfe7dd,#48574f,#a6aa9d,345564,375738,345198
Alfred_Sisley,Alfred_Sisley_47.jpg,#bead9d,#7b94a1,#4d555e,1367838,994320,454433
Alfred_Sisley,Alfred_Sisley_80.jpg,#364746,#8da3a5,#527872,371828,263896,190644
Alfred_Sisley,Alfred_Sisley_223.jpg,#7d7f82,#293f4a,#97a3aa,210689,318274,307645
Alfred_Sisley,Alfred_Sisley_147.jpg,#dbccbd,#8a8b7d,#4f5343,889930,1456193,602925
Alfred_Sisley,Alfred_Sisley_227.jpg,#a8a093,#51433d,#e3e2d4,482804,240625,134683
Alfred_Sisley,Alfred_Sisley_230.jpg,#7a7b76,#33413c,#bcb4ac,307515,188763,360810
Alfred_Sisley,Alfred_Sisley_143.jpg,#bfc4c4,#334550,#738795,669306,363038,356536
Alfred_Sisley,Alfred_Sisley_207.jpg,#566667,#2d2d22,#a8a5a1,277280,558043,324357
Alfred_Sisley,Alfred_Sisley_254.jpg,#c2bfad,#4d4f4e,#859797,1837843,620632,330325
Alfred_Sisley,Alfred_Sisley_124.jpg,#877a6d,#9c968d,#4b4f50,426692,1081709,1963958
Alfred_Sisley,Alfred_Sisley_115.jpg,#d6bcb5,#3b3c37,#67757b,514582,355655,548349
Alfred_Sisley,Alfred_Sisley_119.jpg,#a5ada4,#39352e,#6f7876,684945,269184,176271
Alfred_Sisley,Alfred_Sisley_104.jpg,#999e9c,#41514e,#677c7b,1216675,613534,416742
