artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Amedeo_Modigliani,Amedeo_Modigliani_58.jpg,#2e3d41,#d0e1e9,#7999a8,193525,124632,145061
Amedeo_Modigliani,Amedeo_Modigliani_11.jpg,#2a2332,#325ecf,#4b93ed,201544,107762,94194
Amedeo_Modigliani,Amedeo_Modigliani_138.jpg,#777c94,#37374e,#b4b9cd,167375,148263,77962
Amedeo_Modigliani,Amedeo_Modigliani_70.jpg,#131313,#c6c6c6,#696969,188244,97269,129687
Amedeo_Modigliani,Amedeo_Modigliani_38.jpg,#2e2623,#6595ce,#494f67,234576,82360,84950
Amedeo_Modigliani,Amedeo_Modigliani_98.jpg,#61554f,#372b24,#91adcd,201358,197190,69512
Amedeo_Modigliani,Amedeo_Modigliani_76.jpg,#7fb0d8,#221d26,#566b85,147672,90695,169168
Amedeo_Modigliani,Amedeo_Modigliani_86.jpg,#2a38ab,#151242,#647cdb,237706,75819,131275
Amedeo_Modigliani,Amedeo_Modigliani_133.jpg,#140f17,#6d8bd6,#4d5657,158844,113591,177965
Amedeo_Modigliani,Amedeo_Modigliani_143.jpg,#262432,#547797,#7fb9e2,64483,195427,152467
Amedeo_Modigliani,Amedeo_Modigliani_26.jpg,#1d1832,#c2d8e1,#5d738e,169139,113170,99291
Amedeo_Modigliani,Amedeo_Modigliani_64.jpg,#586f83,#8ab2ca,#151b2f,192405,104623,119384
Amedeo_Modigliani,Amedeo_Modigliani_124.jpg,#1d5dc9,#ada995,#1e1f2e,142574,38120,131306
Amedeo_Modigliani,Amedeo_Modigliani_18.jpg,#344fa2,#2b2829,#7cb6dc,185423,45342,183519
Amedeo_Modigliani,Amedeo_Modigliani_35.jpg,#869896,#344c85,#1b2440,164901,174426,170697
Amedeo_Modigliani,Amedeo_Modigliani_30.jpg,#9bbee1,#455051,#868c80,179558,143435,89384
Amedeo_Modigliani,Amedeo_Modigliani_87.jpg,#1d2c5b,#466cd4,#9da48c,168993,74310,169074
Amedeo_Modigliani,Amedeo_Modigliani_99.jpg,#dac5c1,#6a5643,#ac866b,230486,167395,119406
Amedeo_Modigliani,Amedeo_Modigliani_100.jpg,#63746c,#2e3535,#78a1bb,84135,175551,193848
Amedeo_Modigliani,Amedeo_Modigliani_14.jpg,#bdcbd3,#526c92,#1c2944,75796,223502,105816
Amedeo_Modigliani,Amedeo_Modigliani_48.jpg,#2a72b8,#95b8d3,#0d2649,162411,169460,53729
Amedeo_Modigliani,Amedeo_Modigliani_21.jpg,#1b1d3f,#6395e9,#273479,129467,105091,170556
Amedeo_Modigliani,Amedeo_Modigliani_53.jpg,#ccbcb3,#494c5a,#42b3ca,216186,65338,106172
Amedeo_Modigliani,Amedeo_Modigliani_66.jpg,#4e9dd9,#091228,#2f6a97,156711,92593,163073
Amedeo_Modigliani,Amedeo_Modigliani_50.jpg,#0b0c0b,#454845,#c2bdab,137356,74298,315546
Amedeo_Modigliani,Amedeo_Modigliani_56.jpg,#2e3145,#5fa4dd,#4370aa,149578,72397,93562
Amedeo_Modigliani,Amedeo_Modigliani_110.jpg,#0b154d,#33a0e8,#ddbeb6,176165,22654,174015
Amedeo_Modigliani,Amedeo_Modigliani_3.jpg,#93c0d8,#252834,#506080,166308,212488,124772
Amedeo_Modigliani,Amedeo_Modigliani_40.jpg,#a6bcc2,#192276,#4892c3,266412,80980,47231
Amedeo_Modigliani,Amedeo_Modigliani_144.jpg,#67828d,#1e4cbf,#1a3b47,253243,162120,68637
Amedeo_Modigliani,Amedeo_Modigliani_45.jpg,#3b426e,#88a3c7,#27221e,157681,83558,191313
Amedeo_Modigliani,Amedeo_Modigliani_90.jpg,#d7d9de,#787a9a,#3c2e46,173654,89860,104478
Amedeo_Modigliani,Amedeo_Modigliani_189.jpg,#549dd4,#28272a,#3d6c92,144386,161131,87492
