artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Camille_Pissarro,Camille_Pissarro_35.jpg,#5f7d84,#b4d0ca,#303c31,364397,397822,520853
Camille_Pissarro,Camille_Pissarro_19.jpg,#829ea9,#d3d5d3,#2a3c3a,738549,398829,169502
Camille_Pissarro,Camille_Pissarro_50.jpg,#9ab4a8,#425a43,#6e8d7e,509273,224243,467124
Camille_Pissarro,Camille_Pissarro_83.jpg,#41403f,#adb8b7,#7b858a,379237,598092,275023
Camille_Pissarro,Camille_Pissarro_91.jpg,#a6d5d2,#27473c,#5da8b7,195556,253321,267223
Camille_Pissarro,Camille_Pissarro_18.jpg,#678684,#3d4342,#cecfc5,397429,348709,121190
Camille_Pissarro,Camille_Pissarro_7.jpg,#363023,#ddd2c9,#648678,212357,274446,356973
Camille_Pissarro,Camille_Pissarro_12.jpg,#364147,#a9b4b5,#697a83,437721,546819,300580
Camille_Pissarro,Camille_Pissarro_81.jpg,#c3d0ce,#2e3b35,#7c8a83,469235,285731,315114
Camille_Pissarro,Camille_Pissarro_5.jpg,#548fa4,#b0bebc,#2c3c56,162956,202599,141645
Camille_Pissarro,Camille_Pissarro_72.jpg,#252832,#637386,#a8b8be,346569,221736,265695
Camille_Pissarro,Camille_Pissarro_71.jpg,#567b76,#2b3b3a,#c3c1bf,593806,431806,231348
Camille_Pissarro,Camille_Pissarro_82.jpg,#bfc7be,#4b403b,#828a8e,304481,193125,111691
Camille_Pissarro,Camille_Pissarro_75.jpg,#c2c8bf,#687c82,#35352c,393237,166094,154414
Camille_Pissarro,Camille_Pissarro_89.jpg,#658094,#c3cfd5,#203745,80946,90187,102467
Camille_Pissarro,Camille_Pissarro_64.jpg,#b9b3aa,#5e867f,#3d5f4c,206704,192578,134834
Camille_Pissarro,Camille_Pissarro_52.jpg,#283639,#c7cbbe,#717e7a,152177,215878,287873
Camille_Pissarro,Camille_Pissarro_39.jpg,#403d3e,#9e8f87,#c6bbb0,354959,374212,221449
Camille_Pissarro,Camille_Pissarro_74.jpg,#333328,#5f6363,#8f9ea9,213398,599236,470208
Camille_Pissarro,Camille_Pissarro_24.jpg,#7d8984,#4d4f40,#bdbab5,289492,617682,346202
Camille_Pissarro,Camille_Pissarro_31.jpg,#456968,#aab1aa,#213631,196090,147047,154701
Camille_Pissarro,Camille_Pissarro_45.jpg,#6ea5b2,#456771,#2c383d,247718,240206,128076
Camille_Pissarro,Camille_Pissarro_28.jpg,#ddccba,#5ba09a,#3a6f62,471881,468781,354212
Camille_Pissarro,Camille_Pissarro_17.jpg,#9dbbb9,#314e44,#577b72,412907,322808,118301
Camille_Pissarro,Camille_Pissarro_68.jpg,#a0b2b5,#576c6e,#2d311e,569723,296544,390181
Camille_Pissarro,Camille_Pissarro_69.jpg,#46545e,#eee9e0,#252422,152368,159141,377963
Camille_Pissarro,Camille_Pissarro_15.jpg,#93aea5,#608076,#394e3d,229548,126082,152534
Camille_Pissarro,Camille_Pissarro_88.jpg,#babfb4,#1d2927,#49686b,300364,447454,487234
Camille_Pissarro,Camille_Pissarro_25.jpg,#485460,#8fb1be,#1e2121,349090,236463,89596
Camille_Pissarro,Camille_Pissarro_53.jpg,#93a9a8,#67737e,#3e3638,509732,497400,255460
Camille_Pissarro,Camille_Pissarro_56.jpg,#96917d,#e2dcd0,#4a483a,773822,268799,234307
Camille_Pissarro,Camille_Pissarro_29.jpg,#6b7e90,#83abc2,#2a2e39,741173,314192,227707
Camille_Pissarro,Camille_Pissarro_20.jpg,#a39d99,#2e2729,#575b61,108833,172778,174459
Camille_Pissarro,Camille_Pissarro_44.jpg,#637f9a,#524145,#70a8bf,279790,106022,453048
Camille_Pissarro,Camille_Pissarro_79.jpg,#b8dde6,#2c6679,#6ca7be,111171,95352,52077
Camille_Pissarro,Camille_Pissarro_30.jpg,#8db2b3,#2d3431,#60797f,264909,135280,130076
Camille_Pissarro,Camille_Pissarro_32.jpg,#74868f,#c0c7b2,#3c3a31,308774,360913,177161
Camille_Pissarro,Camille_Pissarro_4.jpg,#85a3a6,#1a1915,#606f76,204735,162713,529576
Camille_Pissarro,Camille_Pissarro_61.jpg,#94a9a3,#526d69,#25372b,736534,307900,243246
Camille_Pissarro,Camille_Pissarro_38.jpg,#b3b5aa,#1d231d,#7c807c,429626,210247,201127
Camille_Pissarro,Camille_Pissarro_36.jpg,#618697,#a5ccd1,#293945,323930,219851,340955
Camille_Pissarro,Camille_Pissarro_9.jpg,#586e8d,#313040,#f1f7fa,233895,412060,618685
Camille_Pissarro,Camille_Pissarro_40.jpg,#61727c,#94a7b5,#444a53,169496,227245,220659
Camille_Pissarro,Camille_Pissarro_43.jpg,#4e6b81,#2b3040,#8da6b0,419832,598185,273503
Camille_Pissarro,Camille_Pissarro_21.jpg,#5a8099,#233a4b,#a9d2d7,172295,445213,110316
Camille_Pissarro,Camille_Pissarro_26.jpg,#677f7a,#343b29,#b1c1bb,417064,473964,382828
Camille_Pissarro,Camille_Pissarro_87.jpg,#2a3742,#6c8891,#92bac4,355513,730230,174801
Camille_Pissarro,Camille_Pissarro_13.jpg,#242a21,#b3c1b4,#51696a,78237,169760,281740
Camille_Pissarro,Camille_Pissarro_54.jpg,#7a818b,#c4bfb4,#403835,259754,171125,65121
Camille_Pissarro,Camille_Pissarro_22.jpg,#2c352b,#5b6f72,#9ab6ba,150910,183931,199559
Camille_Pissarro,Camille_Pissarro_84.jpg,#aeb7ba,#36231d,#6a7487,223139,219644,268123
Camille_Pissarro,Camille_Pissarro_41.jpg,#403835,#6e818a,#4f585f,727865,366547,171252
