artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Claude_Monet,Claude_Monet_44.jpg,#3c3c39,#bec4c2,#626d70,200013,364998,281837
Claude_Monet,Claude_Monet_8.jpg,#cad2d3,#798c82,#59624e,538686,743806,495508
Claude_Monet,Claude_Monet_60.jpg,#c1a69c,#3a4a2b,#897d68,129053,126432,370179
Claude_Monet,Claude_Monet_64.jpg,#34493c,#579ca8,#d4c7ba,248001,294188,300563
Claude_Monet,Claude_Monet_6.jpg,#3c3e27,#c0c5b0,#767f64,239083,597081,394651
Claude_Monet,Claude_Monet_65.jpg,#595646,#c7c5c3,#92897b,492552,479960,568488
Claude_Monet,Claude_Monet_73.jpg,#747462,#97a6a4,#8b8f82,581913,1004892,405195
Claude_Monet,Claude_Monet_38.jpg,#8a948b,#bbc4be,#525e51,299130,277127,201983
Claude_Monet,Claude_Monet_67.jpg,#beb4b4,#4c555c,#738ca6,357790,289471,149444
Claude_Monet,Claude_Monet_71.jpg,#8c8a7b,#b9c3b6,#6d5f4b,1151569,1382027,608036
Claude_Monet,Claude_Monet_36.jpg,#689285,#cec1b3,#356043,1286360,921488,806152
Claude_Monet,Claude_Monet_41.jpg,#558587,#2f5449,#efdab6,317511,232618,242447
Claude_Monet,Claude_Monet_69.jpg,#68989e,#ceb194,#395951,419175,305364,120261
Claude_Monet,Claude_Monet_55.jpg,#b6b8a3,#222d2e,#637672,424637,232263,194044
Claude_Monet,Claude_Monet_70.jpg,#99b4ce,#253031,#5a7988,344846,324560,212414
Claude_Monet,Claude_Monet_25.jpg,#858277,#bab4a6,#3f4541,625633,783948,1772603
Claude_Monet,Claude_Monet_14.jpg,#75716a,#a7b5bd,#3c3f46,277266,358882,420620
Claude_Monet,Claude_Monet_17.jpg,#b5c4ca,#7f7c80,#9ba8af,1316877,1200456,373773
Claude_Monet,Claude_Monet_50.jpg,#6d7457,#bfb19a,#678895,223753,325466,460445
Claude_Monet,Claude_Monet_61.jpg,#696357,#e3d8c2,#b1a891,309031,390935,145858
Claude_Monet,Claude_Monet_18.jpg,#1a2827,#7eadad,#4b6a6a,323243,335064,250113
Claude_Monet,Claude_Monet_47.jpg,#597a64,#b6b3a4,#314532,979967,1438538,865895
Claude_Monet,Claude_Monet_27.jpg,#6f97a8,#866d3e,#b3b6a1,1103368,920677,886675
Claude_Monet,Claude_Monet_56.jpg,#c1c4ca,#3a7496,#d5dfe9,1460278,1334363,735599
Claude_Monet,Claude_Monet_11.jpg,#334552,#92806b,#cfc6bc,281238,161837,421181
Claude_Monet,Claude_Monet_58.jpg,#635d50,#959fb4,#808182,741845,1397337,1214011
Claude_Monet,Claude_Monet_46.jpg,#5d5352,#cbc3d1,#a1959e,1279264,1354234,592038
Claude_Monet,Claude_Monet_20.jpg,#a5d4d8,#988e76,#e4dcd6,1370153,2394806,528401
Claude_Monet,Claude_Monet_52.jpg,#8893a2,#c8bfc6,#566875,290869,343114,204673
Claude_Monet,Claude_Monet_59.jpg,#71afcc,#2d2d1c,#507a82,297488,143293,337459
Claude_Monet,Claude_Monet_23.jpg,#bfd2ce,#364234,#7c8f83,172374,327289,333873
Claude_Monet,Claude_Monet_31.jpg,#bd9c82,#c1c5c2,#575955,1266344,324386,1199270
Claude_Monet,Claude_Monet_62.jpg,#76a5c8,#595e61,#afc9cd,660240,833444,674146
Claude_Monet,Claude_Monet_24.jpg,#2a363a,#59656b,#9fadad,313932,291959,220309
Claude_Monet,Claude_Monet_30.jpg,#ce9666,#99623a,#f1ddca,272094,381864,179578
Claude_Monet,Claude_Monet_51.jpg,#292a29,#666a70,#c2c3c1,626377,1330490,676533
Claude_Monet,Claude_Monet_29.jpg,#32302b,#d5d4ce,#81735f,251696,362977,241391
Claude_Monet,Claude_Monet_4.jpg,#5e8b98,#4b5e5f,#b8b2b1,302425,441070,195380
Claude_Monet,Claude_Monet_45.jpg,#3d585e,#b7adad,#8f5e5a,1039391,679778,405631
Claude_Monet,Claude_Monet_12.jpg,#1b616b,#b8c2c2,#6a96a3,200326,153903,331851
Claude_Monet,Claude_Monet_19.jpg,#c19e88,#9a816b,#d7c6c3,248434,332704,337390
Claude_Monet,Claude_Monet_21.jpg,#b9c1bd,#35393d,#7b8279,425549,561304,366875
Claude_Monet,Claude_Monet_2.jpg,#8f9b9d,#c0bdb9,#475a54,1028954,1545389,476153
Claude_Monet,Claude_Monet_40.jpg,#75788a,#273550,#b4aeb4,197406,366196,193742
Claude_Monet,Claude_Monet_26.jpg,#c5c2c0,#929497,#5b6064,333040,151892,301500
Claude_Monet,Claude_Monet_13.jpg,#babbb0,#6d7a7d,#4b4441,579224,235660,551116
Claude_Monet,Claude_Monet_35.jpg,#b6b59e,#998d67,#52573c,293605,406095,138956
Claude_Monet,Claude_Monet_39.jpg,#d7d8ca,#47494d,#889db8,738412,361299,139289
Claude_Monet,Claude_Monet_22.jpg,#474c44,#79897f,#babeb8,386112,263289,223047
Claude_Monet,Claude_Monet_49.jpg,#93acb7,#617383,#3a3741,545065,469089,627158
Claude_Monet,Claude_Monet_3.jpg,#786a53,#41382f,#beb5a0,1845982,1896207,292611
Claude_Monet,Claude_Monet_10.jpg,#496d7a,#8babb1,#212e36,563904,337767,284889
Claude_Monet,Claude_Monet_34.jpg,#8baa9f,#dddcda,#427263,305318,392832,168766
Claude_Monet,Claude_Monet_33.jpg,#a2afb4,#4e5b56,#858d8e,251576,180942,195194
Claude_Monet,Claude_Monet_57.jpg,#85756a,#aab6bc,#445046,869052,1239963,462185
Claude_Monet,Claude_Monet_72.jpg,#596260,#d5ddda,#b1aa9d,570589,929525,351994
Claude_Monet,Claude_Monet_42.jpg,#8ca7b5,#666662,#e9e0d2,1187174,1106438,734388
Claude_Monet,Claude_Monet_48.jpg,#344328,#afb7ac,#5c7e87,1838388,1133268,558444
Claude_Monet,Claude_Monet_63.jpg,#848797,#4d4d59,#cecbd2,1126236,1110404,726460
Claude_Monet,Claude_Monet_9.jpg,#e8d9d5,#5d635e,#969096,226937,358462,244041
Claude_Monet,Claude_Monet_7.jpg,#717e8a,#bac9c6,#534349,308662,300228,314758
Claude_Monet,Claude_Monet_68.jpg,#787a82,#1c2430,#c1bdbf,369053,292044,185133
Claude_Monet,Claude_Monet_32.jpg,#49533b,#9c9d83,#e2d3c5,376336,530477,308187
Claude_Monet,Claude_Monet_16.jpg,#95cce1,#1e2a30,#547587,434297,600105,586798
Claude_Monet,Claude_Monet_54.jpg,#63492e,#d4ccc1,#999072,343040,175945,255159
Claude_Monet,Claude_Monet_5.jpg,#76bcd3,#406172,#a7babc,255136,372036,151068
Claude_Monet,Claude_Monet_53.jpg,#3f5c62,#1b292a,#8caeb6,1995806,416820,506590
Claude_Monet,Claude_Monet_43.jpg,#3f465c,#cad8e4,#6883aa,335669,436412,586919
Claude_Monet,Claude_Monet_15.jpg,#828d83,#bbc7c6,#465136,444824,157495,137009
Claude_Monet,Claude_Monet_37.jpg,#497896,#7dbbd4,#29324d,474899,439426,263675
Claude_Monet,Claude_Monet_28.jpg,#444d5d,#8799a5,#d3d4b7,933778,1378205,602017
Claude_Monet,Claude_Monet_1.jpg,#5f5936,#a7b99c,#838962,187113,354020,268851
Claude_Monet,Claude_Monet_66.jpg,#82a1b1,#ebe0ce,#49473f,615316,289476,402856
