artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Edgar_Degas,Edgar_Degas_355.jpg,#6f9896,#d5dacd,#3c4344,199098,484177,227195
Edgar_Degas,Edgar_Degas_69.jpg,#a9bfe0,#191e37,#5a6d9a,342278,293747,379470
Edgar_Degas,Edgar_Degas_56.jpg,#415a90,#5b8ecc,#24294a,421562,327704,212754
Edgar_Degas,Edgar_Degas_481.jpg,#373153,#7674a7,#a8bbe2,405762,464856,234794
Edgar_Degas,Edgar_Degas_461.jpg,#4790ae,#26435f,#a9e4ee,151528,440215,405245
Edgar_Degas,Edgar_Degas_76.jpg,#243039,#95bdd4,#406786,1398597,579301,1752395
Edgar_Degas,Edgar_Degas_616.jpg,#71818d,#483e52,#95adc2,733418,1395473,1030573
Edgar_Degas,Edgar_Degas_380.jpg,#4b6ea8,#2d3348,#93b9d9,256254,127375,212354
Edgar_Degas,Edgar_Degas_265.jpg,#418397,#b1bbb2,#1b3e4a,277295,517842,257539
Edgar_Degas,Edgar_Degas_245.jpg,#02060b,#4c9ba9,#103e5c,259398,97682,37930
Edgar_Degas,Edgar_Degas_689.jpg,#aee7ec,#294358,#3b8bb3,393648,1054712,1748152
Edgar_Degas,Edgar_Degas_605.jpg,#768597,#b1c1d3,#40485f,1847693,876321,1077298
Edgar_Degas,Edgar_Degas_320.jpg,#203044,#92a9c0,#49617e,185043,380910,320040
Edgar_Degas,Edgar_Degas_345.jpg,#12133a,#3d4f87,#6d7dab,334068,401069,155627
Edgar_Degas,Edgar_Degas_200.jpg,#356c9c,#2e3334,#9ab1c2,291142,305495,527726
Edgar_Degas,Edgar_Degas_27.jpg,#203f78,#357dcf,#81cef1,292406,489083,214863
Edgar_Degas,Edgar_Degas_211.jpg,#101f2b,#85acc4,#3e6772,244338,216284,473278
Edgar_Degas,Edgar_Degas_516.jpg,#bfddec,#4fb8e8,#1b2432,1080388,2394692,688387
Edgar_Degas,Edgar_Degas_158.jpg,#202735,#5e7695,#a0c6e0,412486,335088,284116
Edgar_Degas,Edgar_Degas_609.jpg,#3b3549,#977b5e,#909daa,1331527,1312466,526919
Edgar_Degas,Edgar_Degas_287.jpg,#314092,#1c1d32,#3d61cd,227901,394284,345238
Edgar_Degas,Edgar_Degas_164.jpg,#9bafb1,#536a71,#1f2a43,427223,197800,335949
Edgar_Degas,Edgar_Degas_9.jpg,#97beda,#2b3a52,#386aa6,328774,313492,126758
Edgar_Degas,Edgar_Degas_315.jpg,#8f927e,#1a2a24,#2e5a4a,87301,180720,344279
Edgar_Degas,Edgar_Degas_579.jpg,#a0b0ad,#2d3a3c,#597174,900350,459923,478294
Edgar_Degas,Edgar_Degas_243.jpg,#243e72,#121730,#578fc8,290206,427545,55564
Edgar_Degas,Edgar_Degas_260.jpg,#609cce,#375387,#3166cb,355911,251118,214726
Edgar_Degas,Edgar_Degas_259.jpg,#38435c,#697084,#171a2a,406937,254608,235350
Edgar_Degas,Edgar_Degas_599.jpg,#70a8cb,#9fc5e4,#4e75ae,559459,2289457,719148
Edgar_Degas,Edgar_Degas_446.jpg,#436389,#c3cdd6,#171c34,345500,203965,356601
Edgar_Degas,Edgar_Degas_332.jpg,#314a75,#0f1836,#7eb6dd,443106,342148,79116
Edgar_Degas,Edgar_Degas_648.jpg,#5e62b7,#3e4264,#77a6d5,888333,1785728,772811
Edgar_Degas,Edgar_Degas_36.jpg,#a4c4c7,#3d716e,#151118,474853,159346,179495
Edgar_Degas,Edgar_Degas_450.jpg,#1e3b55,#4576a9,#95bcd3,267945,280553,187836
Edgar_Degas,Edgar_Degas_144.jpg,#4e627d,#232d38,#7c98ba,384306,193943,221279
Edgar_Degas,Edgar_Degas_426.jpg,#82a9c3,#16293b,#2e6069,524321,454643,133568
Edgar_Degas,Edgar_Degas_107.jpg,#1b2a4b,#709dca,#3d6492,351009,418015,296196
Edgar_Degas,Edgar_Degas_694.jpg,#2265d2,#83d7f1,#1d3688,877332,1149680,844648
Edgar_Degas,Edgar_Degas_330.jpg,#a1bfd5,#4c6a74,#1b252b,219530,267785,255405
Edgar_Degas,Edgar_Degas_297.jpg,#77adce,#1f3342,#3b76a4,388516,383039,156068
Edgar_Degas,Edgar_Degas_42.jpg,#1f1a27,#272f8b,#5a8ed4,420575,548890,25557
Edgar_Degas,Edgar_Degas_618.jpg,#b4d0dd,#363c39,#5e7773,439084,837593,1992083
Edgar_Degas,Edgar_Degas_217.jpg,#a6c4d6,#2e3438,#657b8c,206530,361234,84524
Edgar_Degas,Edgar_Degas_627.jpg,#504c62,#89aed2,#6f83a6,488043,459561,282020
Edgar_Degas,Edgar_Degas_529.jpg,#365a85,#669dc3,#161f40,361356,273237,250487
Edgar_Degas,Edgar_Degas_542.jpg,#18325e,#8cb6cd,#458cbd,225849,429707,248818
Edgar_Degas,Edgar_Degas_221.jpg,#180e21,#363b68,#6375a6,454957,298607,79926
Edgar_Degas,Edgar_Degas_554.jpg,#283f75,#101639,#579fc7,317206,296492,314853
Edgar_Degas,Edgar_Degas_77.jpg,#151729,#95a4b7,#384d6c,232796,409800,253359
Edgar_Degas,Edgar_Degas_205.jpg,#53667b,#afcbdb,#1d1f22,262907,402335,125286
Edgar_Degas,Edgar_Degas_234.jpg,#525771,#221525,#a5aeb0,181307,84987,590122
Edgar_Degas,Edgar_Degas_528.jpg,#799dce,#161c3c,#445886,432809,358003,366564
Edgar_Degas,Edgar_Degas_291.jpg,#1b4e5f,#2580a1,#9baa8a,291956,169968,146251
Edgar_Degas,Edgar_Degas_546.jpg,#315092,#202338,#98bdcf,261311,466029,260550
Edgar_Degas,Edgar_Degas_276.jpg,#293251,#99afc0,#54729e,474044,274155,349898
Edgar_Degas,Edgar_Degas_493.jpg,#405b62,#708da0,#18232e,233500,315214,278134
Edgar_Degas,Edgar_Degas_468.jpg,#8abbd9,#3b5f8c,#212f41,388535,452334,149032
Edgar_Degas,Edgar_Degas_639.jpg,#d1d4d7,#434d6b,#85a7c5,1067984,1285777,710575
Edgar_Degas,Edgar_Degas_449.jpg,#405572,#242735,#618cb3,153796,198326,203178
Edgar_Degas,Edgar_Degas_136.jpg,#8ecee9,#6a94ba,#363d5a,439307,162898,58805
Edgar_Degas,Edgar_Degas_105.jpg,#d2d8e0,#1f2748,#3f7d8e,229681,401072,260697
Edgar_Degas,Edgar_Degas_400.jpg,#6b6754,#89948f,#316681,350171,412849,268098
Edgar_Degas,Edgar_Degas_41.jpg,#0f2e93,#1b4fb3,#0c1654,204387,325699,99422
Edgar_Degas,Edgar_Degas_223.jpg,#516a65,#949e99,#252b39,453222,198736,212070
Edgar_Degas,Edgar_Degas_79.jpg,#445d69,#112034,#7d969f,304947,367960,109263
Edgar_Degas,Edgar_Degas_574.jpg,#257ab4,#1a3761,#80a0b0,465829,334765,294386
Edgar_Degas,Edgar_Degas_174.jpg,#151422,#5a8fb3,#2f3e5c,261572,395314,465968
Edgar_Degas,Edgar_Degas_376.jpg,#8ea1c0,#342d37,#57647f,287695,396523,339602
Edgar_Degas,Edgar_Degas_190.jpg,#2e3642,#486483,#75a3c1,279802,307120,113959
Edgar_Degas,Edgar_Degas_20.jpg,#71948b,#475c52,#b8cfc3,242082,298767,140111
Edgar_Degas,Edgar_Degas_269.jpg,#4b5d6b,#80a4c4,#191b1f,294087,141882,186197
Edgar_Degas,Edgar_Degas_67.jpg,#4f535f,#7797b0,#23202c,255069,481598,274573
Edgar_Degas,Edgar_Degas_222.jpg,#1d1929,#2d4cbe,#2c2e59,297026,322071,302587
Edgar_Degas,Edgar_Degas_660.jpg,#9ac1bc,#4a6482,#769899,1385433,1845043,1171724
Edgar_Degas,Edgar_Degas_569.jpg,#8096ab,#d1d4db,#273b66,673706,1363204,1430620
Edgar_Degas,Edgar_Degas_534.jpg,#5a4056,#d4d7d6,#7294ac,126211,257140,139849
Edgar_Degas,Edgar_Degas_506.jpg,#23305c,#9f9cbc,#565f8c,179743,375850,307610
Edgar_Degas,Edgar_Degas_202.jpg,#243680,#121119,#4379ac,211158,235415,616371
Edgar_Degas,Edgar_Degas_359.jpg,#9ccbdd,#2d5972,#151f3f,227964,433907,221381
Edgar_Degas,Edgar_Degas_378.jpg,#d2e2f2,#5eaee6,#2c4884,389549,178488,214299
Edgar_Degas,Edgar_Degas_215.jpg,#303b4f,#78a1b5,#526a77,376780,371567,171278
Edgar_Degas,Edgar_Degas_582.jpg,#4e5571,#202135,#8992a8,467130,249056,321664
Edgar_Degas,Edgar_Degas_563.jpg,#4b6892,#121c35,#87afd6,130646,705522,133240
Edgar_Degas,Edgar_Degas_280.jpg,#465f7a,#77a7b9,#1b1a2a,384972,143024,159316
Edgar_Degas,Edgar_Degas_110.jpg,#2f2227,#4b4c67,#768bae,232883,249358,301779
Edgar_Degas,Edgar_Degas_514.jpg,#c0c8c3,#768e94,#1e2a29,366084,263048,183298
Edgar_Degas,Edgar_Degas_408.jpg,#406875,#202d34,#7faabb,422250,329964,149930
Edgar_Degas,Edgar_Degas_165.jpg,#213961,#9da7b6,#657d92,319570,364064,158995
Edgar_Degas,Edgar_Degas_75.jpg,#0e1e37,#6a7d79,#225067,38138,344916,114982
Edgar_Degas,Edgar_Degas_375.jpg,#a9bac5,#1c2b5d,#3c8dc4,221391,350137,220472
Edgar_Degas,Edgar_Degas_59.jpg,#1d365f,#9cb1bd,#557b9e,412154,416715,385935
Edgar_Degas,Edgar_Degas_619.jpg,#7d7c87,#80b3d6,#3b4364,2077506,982600,1894646
Edgar_Degas,Edgar_Degas_275.jpg,#465d7d,#22233b,#8499a8,355346,383322,410532
Edgar_Degas,Edgar_Degas_51.jpg,#143052,#2e709a,#8ba9c2,315205,198372,194039
Edgar_Degas,Edgar_Degas_691.jpg,#2a486a,#badde9,#4db1d7,424364,167122,186754
Edgar_Degas,Edgar_Degas_509.jpg,#5984ab,#2b2f2e,#4a5d61,293323,389379,269898
Edgar_Degas,Edgar_Degas_213.jpg,#22374f,#557592,#81c5e7,161377,233422,436541
Edgar_Degas,Edgar_Degas_15.jpg,#72afd3,#2d3e50,#567d7d,367421,363840,170883
Edgar_Degas,Edgar_Degas_442.jpg,#4e7e86,#7bb5c1,#1f312d,281192,272862,398786
