artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Edouard_Manet,Edouard_Manet_87.jpg,#cfcbd8,#232427,#687186,455782,267544,330364
Edouard_Manet,Edouard_Manet_66.jpg,#16161b,#b8cbdd,#667f9d,151556,228975,516269
Edouard_Manet,Edouard_Manet_14.jpg,#8d8786,#243d6f,#afb9ce,111132,386379,228905
Edouard_Manet,Edouard_Manet_64.jpg,#2a5483,#67a3cb,#181b26,167019,551104,85537
Edouard_Manet,Edouard_Manet_65.jpg,#272d2a,#becfd8,#5c8799,621931,154146,188099
Edouard_Manet,Edouard_Manet_32.jpg,#2a3c47,#557a8b,#9cb7bf,265179,423189,274571
Edouard_Manet,Edouard_Manet_27.jpg,#9caed0,#456072,#7587a4,194007,495791,286702
Edouard_Manet,Edouard_Manet_42.jpg,#a9c6ce,#224460,#6a93a9,251873,536611,242932
Edouard_Manet,Edouard_Manet_29.jpg,#d2cdd2,#1d202c,#68758f,359578,164280,425342
Edouard_Manet,Edouard_Manet_62.jpg,#101329,#5d88b2,#2c4b7a,502502,367973,131437
Edouard_Manet,Edouard_Manet_52.jpg,#8aa09b,#201d19,#3f403a,252008,486924,92983
Edouard_Manet,Edouard_Manet_63.jpg,#20192e,#a4b9cd,#616a82,386872,290101,352507
Edouard_Manet,Edouard_Manet_11.jpg,#ccc5cf,#26202d,#6c6a78,152539,151193,181728
Edouard_Manet,Edouard_Manet_56.jpg,#291f28,#4c6375,#90c2db,927332,206701,62291
Edouard_Manet,Edouard_Manet_10.jpg,#9bb7c5,#656b79,#202f46,491031,114558,262051
Edouard_Manet,Edouard_Manet_31.jpg,#abb3ce,#211b28,#84849a,274286,347732,319694
Edouard_Manet,Edouard_Manet_49.jpg,#1a171f,#b0b3d8,#74717f,252887,612157,284069
Edouard_Manet,Edouard_Manet_39.jpg,#16141d,#bbc7d1,#5e706c,531352,246718,238858
Edouard_Manet,Edouard_Manet_5.jpg,#a8cbda,#6c8da5,#2a3c67,285677,195162,381505
Edouard_Manet,Edouard_Manet_89.jpg,#83b1d7,#282c42,#100e18,221962,563670,38333
Edouard_Manet,Edouard_Manet_78.jpg,#4280a4,#161a20,#d5cdc7,522303,178781,263348
Edouard_Manet,Edouard_Manet_4.jpg,#22131e,#a5c7de,#545b76,641982,206947,310504
Edouard_Manet,Edouard_Manet_57.jpg,#637092,#1d1b22,#abc2d8,296061,118867,341459
Edouard_Manet,Edouard_Manet_75.jpg,#241c2a,#9ba3b5,#5e5a72,413017,288222,289553
Edouard_Manet,Edouard_Manet_1.jpg,#1e272a,#b8c8d2,#70848e,317126,322265,206151
Edouard_Manet,Edouard_Manet_83.jpg,#21262a,#708782,#ced5d5,266173,275919,315132
Edouard_Manet,Edouard_Manet_18.jpg,#797f8f,#1e232a,#ccc7cf,421138,286401,297323
Edouard_Manet,Edouard_Manet_43.jpg,#1c1816,#485c74,#a0a1af,497295,245978,206758
Edouard_Manet,Edouard_Manet_26.jpg,#447aab,#0e1320,#132d4d,433706,409347,80283
Edouard_Manet,Edouard_Manet_58.jpg,#6ea6c6,#213863,#0c1128,332476,581054,57606
Edouard_Manet,Edouard_Manet_90.jpg,#2b2f35,#816f7f,#bbc6dc,180186,99837,555282
Edouard_Manet,Edouard_Manet_8.jpg,#adc5ab,#31402e,#758b68,581823,350862,178259
Edouard_Manet,Edouard_Manet_76.jpg,#6f8ba0,#a0bcd5,#303840,416965,285755,199470
Edouard_Manet,Edouard_Manet_17.jpg,#131417,#8cc3e7,#35495d,492328,129139,259749
Edouard_Manet,Edouard_Manet_23.jpg,#212a29,#c9ccd3,#697074,380096,333365,508061
Edouard_Manet,Edouard_Manet_21.jpg,#141120,#306094,#1c3760,662605,215534,63501
Edouard_Manet,Edouard_Manet_82.jpg,#161421,#33456d,#6d96b7,427480,163969,433039
Edouard_Manet,Edouard_Manet_72.jpg,#272233,#364180,#8bc1db,25852,755533,163871
Edouard_Manet,Edouard_Manet_7.jpg,#abb3b4,#323d3e,#73858c,538534,287855,216287
Edouard_Manet,Edouard_Manet_13.jpg,#211e20,#8791a0,#555e6a,235040,282635,304018
Edouard_Manet,Edouard_Manet_71.jpg,#18172a,#556d81,#9bb8ca,290877,381125,528750
Edouard_Manet,Edouard_Manet_68.jpg,#375275,#9ec2d8,#18161d,797951,146475,81244
Edouard_Manet,Edouard_Manet_9.jpg,#191b28,#a1bcc7,#4c6262,475215,255343,260744
Edouard_Manet,Edouard_Manet_30.jpg,#1d133d,#4f6774,#739aab,174228,484282,203571
Edouard_Manet,Edouard_Manet_70.jpg,#90c3cb,#5a7677,#24272e,487010,458355,320407
Edouard_Manet,Edouard_Manet_6.jpg,#45596b,#1c293d,#90a4ba,478879,175121,93856
Edouard_Manet,Edouard_Manet_3.jpg,#465380,#89c2da,#1f1521,259119,224554,722003
Edouard_Manet,Edouard_Manet_59.jpg,#717683,#adbdce,#292937,463204,336693,288209
Edouard_Manet,Edouard_Manet_12.jpg,#5d6b79,#bfd2d8,#1a1b28,812723,176570,165385
Edouard_Manet,Edouard_Manet_86.jpg,#546d84,#161c29,#c0cedd,257829,232004,386102
Edouard_Manet,Edouard_Manet_48.jpg,#a8b9cc,#30384a,#6e7e96,539792,332781,174063
Edouard_Manet,Edouard_Manet_47.jpg,#557481,#bfc4ca,#202c2a,298567,301958,462423
Edouard_Manet,Edouard_Manet_55.jpg,#1a132f,#4f7db7,#2d2c57,389982,433859,116624
Edouard_Manet,Edouard_Manet_77.jpg,#5e7570,#bfc2ba,#1c2a28,619656,503574,371770
Edouard_Manet,Edouard_Manet_85.jpg,#3a5b63,#16231f,#92b3ca,141465,232226,523039
Edouard_Manet,Edouard_Manet_61.jpg,#332d3a,#445680,#9fc0d1,235253,619141,88461
Edouard_Manet,Edouard_Manet_74.jpg,#c2a8a0,#18192e,#3f6d9d,346979,324993,360858
Edouard_Manet,Edouard_Manet_44.jpg,#1a1721,#a5b0c6,#58647e,396334,275714,267903
Edouard_Manet,Edouard_Manet_2.jpg,#2a3b65,#7dbaef,#191825,402950,363049,281713
Edouard_Manet,Edouard_Manet_73.jpg,#496f8e,#191c28,#8cc1df,158801,758207,172480
Edouard_Manet,Edouard_Manet_15.jpg,#443d58,#24171c,#5f6ea2,411441,193562,81405
Edouard_Manet,Edouard_Manet_38.jpg,#15121f,#8eb4ce,#485a70,862931,49936,79218
Edouard_Manet,Edouard_Manet_45.jpg,#150e20,#34416d,#5a73a8,621930,276181,130763
Edouard_Manet,Edouard_Manet_46.jpg,#2f242c,#cddbe6,#7689a5,213778,741657,209820
Edouard_Manet,Edouard_Manet_35.jpg,#1b1421,#79869f,#2b2948,588324,285444,166540
Edouard_Manet,Edouard_Manet_20.jpg,#191d26,#b3c9d8,#516478,590440,229357,158170
Edouard_Manet,Edouard_Manet_28.jpg,#324162,#1c151b,#496795,563052,163637,102823
Edouard_Manet,Edouard_Manet_19.jpg,#2a192d,#51476f,#a4c1e3,426586,597031,34879
Edouard_Manet,Edouard_Manet_33.jpg,#121819,#365163,#5a7d95,186312,426938,140251
Edouard_Manet,Edouard_Manet_67.jpg,#1c1b25,#304248,#77a8c9,409539,550142,27920
Edouard_Manet,Edouard_Manet_22.jpg,#404761,#83a8c2,#261e2d,473566,332362,47308
Edouard_Manet,Edouard_Manet_88.jpg,#395b60,#1c2829,#638eaf,504173,236359,244896
Edouard_Manet,Edouard_Manet_79.jpg,#a9bec1,#27283f,#748997,378338,227788,234294
Edouard_Manet,Edouard_Manet_36.jpg,#52647d,#171224,#a9a1a4,351415,118175,395890
Edouard_Manet,Edouard_Manet_16.jpg,#211d2d,#e3dfdc,#6f737b,609464,157135,290976
Edouard_Manet,Edouard_Manet_51.jpg,#666b98,#363150,#9a9cc1,357924,322710,302967
Edouard_Manet,Edouard_Manet_80.jpg,#538071,#85c3c3,#23292a,307411,172597,442134
Edouard_Manet,Edouard_Manet_60.jpg,#b8c5d9,#6b7492,#241d22,69172,616189,34993
Edouard_Manet,Edouard_Manet_84.jpg,#9f9a7a,#322e28,#c7dcdc,670898,243000,117802
Edouard_Manet,Edouard_Manet_53.jpg,#1c1318,#555a67,#8299ab,145058,401195,527739
Edouard_Manet,Edouard_Manet_54.jpg,#48758d,#192930,#93bdcc,480301,257405,305945
Edouard_Manet,Edouard_Manet_50.jpg,#181b1c,#778ba1,#2f4a69,505260,87775,383065
Edouard_Manet,Edouard_Manet_34.jpg,#192130,#82b6d2,#355771,574872,300078,101190
