artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Francisco_Goya,Francisco_Goya_73.jpg,#415a61,#161c1f,#89a4be,213903,171549,17548
Francisco_Goya,Francisco_Goya_137.jpg,#25203f,#586174,#97a3a4,247800,393102,152698
Francisco_Goya,Francisco_Goya_234.jpg,#4e596f,#b5b3ba,#1d1b26,663533,232679,84788
Francisco_Goya,Francisco_Goya_124.jpg,#a0a0a0,#fcfcfc,#5c5c5c,262797,108371,287128
Francisco_Goya,Francisco_Goya_98.jpg,#53636e,#1b252d,#83a2b9,195268,248840,92615
Francisco_Goya,Francisco_Goya_268.jpg,#f4f4f4,#3f3f3f,#adadad,308620,228367,121309
Francisco_Goya,Francisco_Goya_291.jpg,#1b282e,#87b3cd,#3a5064,98768,487224,240376
Francisco_Goya,Francisco_Goya_184.jpg,#39374d,#b5cccf,#607d8e,953625,465948,1355467
Francisco_Goya,Francisco_Goya_205.jpg,#182139,#7fadcb,#41718c,357633,118996,172587
Francisco_Goya,Francisco_Goya_181.jpg,#1e2c38,#b3c9d2,#5e7683,578365,134001,118354
Francisco_Goya,Francisco_Goya_182.jpg,#2c4148,#8ab6c4,#6f8b87,423137,360398,353105
Francisco_Goya,Francisco_Goya_1.jpg,#838383,#3b3b3b,#f5f5f5,313151,187811,157334
Francisco_Goya,Francisco_Goya_90.jpg,#828282,#f7f7f7,#404040,299670,149478,209148
Francisco_Goya,Francisco_Goya_222.jpg,#b1bcbe,#27363f,#5d6f75,1063329,970380,1079251
Francisco_Goya,Francisco_Goya_219.jpg,#4f8dca,#284478,#151b1f,148213,424963,35080
Francisco_Goya,Francisco_Goya_270.jpg,#1f2f32,#7d9fa3,#4a696c,227734,82144,173450
Francisco_Goya,Francisco_Goya_216.jpg,#344464,#181618,#6ea1b1,384888,246617,255695
Francisco_Goya,Francisco_Goya_154.jpg,#9c9c9c,#f6f6f6,#383838,329741,209135,119420
Francisco_Goya,Francisco_Goya_118.jpg,#182730,#357189,#6fabc6,231871,303888,86951
Francisco_Goya,Francisco_Goya_75.jpg,#31446e,#1d1a3b,#686e8c,994690,1016215,809191
Francisco_Goya,Francisco_Goya_44.jpg,#e7e7e7,#2e2e2e,#a3a3a3,205858,131910,89732
Francisco_Goya,Francisco_Goya_180.jpg,#747474,#363636,#fcfcfc,261571,125496,271229
Francisco_Goya,Francisco_Goya_217.jpg,#fcfcfc,#4b4b4b,#b5b5b5,227176,280040,151080
Francisco_Goya,Francisco_Goya_142.jpg,#09070d,#524948,#887768,1232908,2262851,1675441
Francisco_Goya,Francisco_Goya_39.jpg,#686868,#1e1e1e,#e2e2e2,324828,333653,499919
Francisco_Goya,Francisco_Goya_190.jpg,#aab1c0,#272a35,#676b78,169668,151068,143730
Francisco_Goya,Francisco_Goya_168.jpg,#6e82a2,#40496f,#1f1b3f,759513,975178,1195997
Francisco_Goya,Francisco_Goya_30.jpg,#566a9d,#dfe0ed,#96a0c2,233222,201937,218153
Francisco_Goya,Francisco_Goya_116.jpg,#ebeff2,#403c3d,#929597,1990381,239068,260919
Francisco_Goya,Francisco_Goya_262.jpg,#e8e8e8,#282828,#939393,676156,60858,56486
Francisco_Goya,Francisco_Goya_68.jpg,#545454,#f7f7f7,#c5c5c5,296935,221645,139716
Francisco_Goya,Francisco_Goya_34.jpg,#506d85,#13263b,#92b9d5,219273,70101,64570
Francisco_Goya,Francisco_Goya_93.jpg,#707070,#fbfbfb,#3e3e3e,249232,112065,296999
Francisco_Goya,Francisco_Goya_97.jpg,#686e85,#3e3140,#c3cad5,330430,187261,590335
Francisco_Goya,Francisco_Goya_111.jpg,#121015,#425069,#77a0c7,300706,458185,155709
Francisco_Goya,Francisco_Goya_105.jpg,#9b8c55,#3e4647,#8db6c7,366249,379901,227550
Francisco_Goya,Francisco_Goya_28.jpg,#f5f5f5,#323232,#939393,325721,241225,91350
Francisco_Goya,Francisco_Goya_188.jpg,#4f4f4f,#fcfcfc,#b0b0b0,289255,251131,117910
Francisco_Goya,Francisco_Goya_197.jpg,#2c4585,#030408,#5d7da3,521594,34559,273287
Francisco_Goya,Francisco_Goya_43.jpg,#1d1d1d,#c2c2c2,#7c7c7c,157530,121673,564573
Francisco_Goya,Francisco_Goya_236.jpg,#7790ab,#4c5e7d,#1b224b,526059,310040,337405
Francisco_Goya,Francisco_Goya_103.jpg,#2c6488,#0c202d,#c1c9c5,240710,415655,409875
Francisco_Goya,Francisco_Goya_253.jpg,#fafafa,#2f2f2f,#767676,258738,117706,281852
Francisco_Goya,Francisco_Goya_117.jpg,#acacac,#383838,#f8f8f8,245959,154000,258337
Francisco_Goya,Francisco_Goya_62.jpg,#6f80a6,#282251,#e6e9f1,1694931,1376435,1143418
Francisco_Goya,Francisco_Goya_10.jpg,#1a2c3e,#8aa9be,#547084,249196,277390,259846
Francisco_Goya,Francisco_Goya_127.jpg,#979797,#353535,#fbfbfb,245503,193387,219406
Francisco_Goya,Francisco_Goya_55.jpg,#030208,#293254,#5b779e,2460591,559511,309946
Francisco_Goya,Francisco_Goya_84.jpg,#e9e9e9,#121212,#9c9c9c,460198,117784,169018
Francisco_Goya,Francisco_Goya_36.jpg,#5a5f7d,#cacbe4,#232b3f,49337,41603,53960
Francisco_Goya,Francisco_Goya_24.jpg,#405373,#19142f,#80929d,787185,1285205,1124538
Francisco_Goya,Francisco_Goya_261.jpg,#526a91,#181818,#b1c7db,683108,286100,117942
Francisco_Goya,Francisco_Goya_74.jpg,#2d2d2d,#fbfbfb,#b3b3b3,258628,152222,247446
Francisco_Goya,Francisco_Goya_54.jpg,#434550,#1d1a1f,#acbfc7,372007,302121,44720
Francisco_Goya,Francisco_Goya_166.jpg,#424a73,#211c42,#6f7899,680595,1027759,1443518
Francisco_Goya,Francisco_Goya_271.jpg,#6399bc,#3c474a,#1a1f20,483965,408934,68961
Francisco_Goya,Francisco_Goya_210.jpg,#787878,#d7d7d7,#2b2b2b,243978,187856,284566
Francisco_Goya,Francisco_Goya_5.jpg,#b8bbc1,#2e2e34,#dbd9de,171895,374626,69029
Francisco_Goya,Francisco_Goya_144.jpg,#242736,#05030b,#5d7698,1859110,1346428,165470
Francisco_Goya,Francisco_Goya_4.jpg,#242220,#84a0b1,#445864,498489,234118,67137
Francisco_Goya,Francisco_Goya_99.jpg,#787a84,#241d24,#504d56,303510,324752,228748
Francisco_Goya,Francisco_Goya_274.jpg,#303449,#6f8dab,#141316,443335,310848,88569
Francisco_Goya,Francisco_Goya_27.jpg,#3e474d,#dce8ec,#78838a,114350,187678,140372
Francisco_Goya,Francisco_Goya_120.jpg,#818181,#d3d3d3,#252525,238739,64005,64756
Francisco_Goya,Francisco_Goya_249.jpg,#26201d,#5f6a72,#9faeb5,580138,207679,75415
Francisco_Goya,Francisco_Goya_226.jpg,#04061e,#84a4bc,#304e70,1853617,629038,456225
Francisco_Goya,Francisco_Goya_239.jpg,#e4e4e4,#3c3c3c,#8a8a8a,200095,48167,164238
Francisco_Goya,Francisco_Goya_63.jpg,#8a8a8a,#363636,#fcfcfc,253878,328670,75748
Francisco_Goya,Francisco_Goya_125.jpg,#758f99,#a8c6d2,#364044,256501,234125,135614
Francisco_Goya,Francisco_Goya_258.jpg,#adb0bc,#26232d,#726f76,315520,242385,398435
Francisco_Goya,Francisco_Goya_76.jpg,#04040d,#50647f,#323e58,212031,197610,314327
Francisco_Goya,Francisco_Goya_286.jpg,#3a4578,#211a47,#88838e,659297,668356,1445339
