artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Frida_Kahlo,Frida_Kahlo_47.jpg,#070832,#c4dff1,#3f7ad1,141848,122525,249686
Frida_Kahlo,Frida_Kahlo_65.jpg,#9dbcdb,#546980,#07152a,136390,172721,118599
Frida_Kahlo,Frida_Kahlo_5.jpg,#071722,#1a5997,#64abdb,191795,157243,126285
Frida_Kahlo,Frida_Kahlo_23.jpg,#226791,#0c1c38,#66d4e6,85349,162230,324681
Frida_Kahlo,Frida_Kahlo_29.jpg,#09154a,#b4eff6,#5e88a2,114762,164824,312824
Frida_Kahlo,Frida_Kahlo_41.jpg,#dfcbc7,#0c0f27,#368ab4,351722,79249,112947
Frida_Kahlo,Frida_Kahlo_80.jpg,#6693a3,#1977e1,#060d1d,273477,77417,176077
Frida_Kahlo,Frida_Kahlo_39.jpg,#66819b,#a3bdd0,#1a2d55,109099,233244,162839
Frida_Kahlo,Frida_Kahlo_14.jpg,#273553,#7c889f,#dbe3ec,160986,162805,178970
Frida_Kahlo,Frida_Kahlo_53.jpg,#366a7d,#43cae6,#0a111c,161406,129042,209892
Frida_Kahlo,Frida_Kahlo_15.jpg,#342026,#289be6,#b9c1a5,203772,138618,129120
Frida_Kahlo,Frida_Kahlo_106.jpg,#216192,#f6fafa,#08152a,160481,206651,281696
Frida_Kahlo,Frida_Kahlo_48.jpg,#050d17,#b4d9e0,#316181,138109,129596,201387
Frida_Kahlo,Frida_Kahlo_93.jpg,#e1eee9,#0c1f38,#2d7cb4,106191,187423,243848
Frida_Kahlo,Frida_Kahlo_55.jpg,#0b131d,#97e7f1,#327a9d,125488,170353,317479
Frida_Kahlo,Frida_Kahlo_10.jpg,#d3e6e9,#7496b9,#0b4276,70499,252728,135956
Frida_Kahlo,Frida_Kahlo_90.jpg,#2874cb,#b6ebee,#07134d,107910,246972,176931
Frida_Kahlo,Frida_Kahlo_101.jpg,#318ae6,#040f22,#134875,239701,118739,155788
Frida_Kahlo,Frida_Kahlo_60.jpg,#1e3f7c,#03050d,#57a3e3,78775,80577,348251
Frida_Kahlo,Frida_Kahlo_32.jpg,#171f38,#b8cbdb,#63768f,237286,101046,144254
Frida_Kahlo,Frida_Kahlo_91.jpg,#0c3d7a,#bfeaf2,#75a6cc,160772,218413,118734
Frida_Kahlo,Frida_Kahlo_64.jpg,#ededee,#152249,#93a5c0,247795,68163,152102
Frida_Kahlo,Frida_Kahlo_8.jpg,#03070a,#3690ef,#174870,246484,112148,174940
Frida_Kahlo,Frida_Kahlo_99.jpg,#336ca2,#0a1834,#c5cfcb,92747,106573,232425
Frida_Kahlo,Frida_Kahlo_118.jpg,#3ca0e5,#9c442c,#0c2e57,69328,273480,218864
Frida_Kahlo,Frida_Kahlo_77.jpg,#141c4f,#b1c9ec,#2d82d5,172756,225222,139484
Frida_Kahlo,Frida_Kahlo_74.jpg,#577da0,#0d1a37,#b8deed,244969,154815,142520
Frida_Kahlo,Frida_Kahlo_42.jpg,#c0f1f3,#051314,#278399,143695,99393,267743
Frida_Kahlo,Frida_Kahlo_40.jpg,#aacde6,#080f29,#48525e,152348,111385,171240
Frida_Kahlo,Frida_Kahlo_46.jpg,#233e4f,#ae8f82,#e6e6dd,158297,71794,219408
Frida_Kahlo,Frida_Kahlo_104.jpg,#41b3eb,#374a69,#0a0c18,143726,286833,86728
Frida_Kahlo,Frida_Kahlo_52.jpg,#0c1b46,#b7d9e8,#4368a4,130615,175107,201074
Frida_Kahlo,Frida_Kahlo_16.jpg,#225596,#040e41,#80b0c4,193229,193106,210038
Frida_Kahlo,Frida_Kahlo_49.jpg,#1454d1,#050f4b,#11ddf7,293972,142720,36210
Frida_Kahlo,Frida_Kahlo_68.jpg,#050f61,#75c1f2,#1b64de,227810,205329,155971
Frida_Kahlo,Frida_Kahlo_3.jpg,#103993,#061222,#268af0,127069,120063,255629
Frida_Kahlo,Frida_Kahlo_69.jpg,#2e5c95,#dde1e3,#0e1422,152761,228437,174136
Frida_Kahlo,Frida_Kahlo_70.jpg,#091525,#6ec3ea,#43626d,107299,92836,334099
