artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Gustav_Klimt,Gustav_Klimt_42.jpg,#818d6c,#63684a,#98b697,421151,394410,242231
Gustav_Klimt,Gustav_Klimt_60.jpg,#70a2b7,#6791a2,#54707c,1997401,2329526,293873
Gustav_Klimt,Gustav_Klimt_40.jpg,#959595,#5a5a5a,#757575,705853,1436848,1651219
Gustav_Klimt,Gustav_Klimt_45.jpg,#4c5343,#797f6f,#a5aa9b,478718,350452,262414
Gustav_Klimt,Gustav_Klimt_7.jpg,#66727d,#404758,#8ba1ae,778922,2018685,1316825
Gustav_Klimt,Gustav_Klimt_26.jpg,#4e6c64,#a2c2cd,#2c4337,411763,107039,538990
Gustav_Klimt,Gustav_Klimt_35.jpg,#3b5563,#97e6f4,#5fb7d0,416380,264283,140233
Gustav_Klimt,Gustav_Klimt_48.jpg,#e6f8fb,#93a4aa,#cde3ea,383156,221096,34724
Gustav_Klimt,Gustav_Klimt_22.jpg,#3c4c55,#566e80,#7b94a6,1781687,996763,1269550
Gustav_Klimt,Gustav_Klimt_54.jpg,#6b8391,#55676a,#8fa5c6,184201,413623,457920
Gustav_Klimt,Gustav_Klimt_97.jpg,#8faab9,#bad8e9,#35474d,733367,435565,53253
Gustav_Klimt,Gustav_Klimt_107.jpg,#8eb6cc,#6a8796,#31434c,168304,14333,7007
Gustav_Klimt,Gustav_Klimt_104.jpg,#bce0ef,#1d3240,#53a5b9,1099437,318363,401400
Gustav_Klimt,Gustav_Klimt_88.jpg,#b8e2fb,#5b6e78,#87a8b7,634757,98480,69579
Gustav_Klimt,Gustav_Klimt_63.jpg,#6095ad,#95cfe2,#446770,411051,420974,205287
Gustav_Klimt,Gustav_Klimt_65.jpg,#acc5ce,#515150,#93a8b0,921581,270747,71288
Gustav_Klimt,Gustav_Klimt_77.jpg,#5d6d4f,#9fbbae,#858e74,202748,467545,381355
Gustav_Klimt,Gustav_Klimt_115.jpg,#5d8aa7,#6f9cba,#406379,47665,379519,284531
Gustav_Klimt,Gustav_Klimt_96.jpg,#5480a4,#262d34,#a9cadd,681677,345546,422761
Gustav_Klimt,Gustav_Klimt_102.jpg,#5f5e6e,#98a4b1,#7d808e,166720,298763,200117
Gustav_Klimt,Gustav_Klimt_87.jpg,#d9d9d9,#686868,#a9a9a9,2285170,270695,151591
Gustav_Klimt,Gustav_Klimt_5.jpg,#96beca,#16272d,#bee5f1,665921,241105,97078
Gustav_Klimt,Gustav_Klimt_93.jpg,#a4c4c3,#6a9e8e,#537c5d,520311,422761,113696
Gustav_Klimt,Gustav_Klimt_70.jpg,#717172,#1d222f,#4e4e50,315152,405956,326444
Gustav_Klimt,Gustav_Klimt_94.jpg,#a1bfd9,#424e5b,#809ebb,897719,870485,150602
Gustav_Klimt,Gustav_Klimt_57.jpg,#95a9b6,#57687a,#222b3c,340840,319012,408180
Gustav_Klimt,Gustav_Klimt_103.jpg,#91b8a4,#778f73,#5c6c4f,342780,501604,203168
Gustav_Klimt,Gustav_Klimt_79.jpg,#ccd1c4,#7f8675,#3f4837,376757,424011,245760
Gustav_Klimt,Gustav_Klimt_111.jpg,#9abcce,#596970,#b3ddf0,764968,221894,91410
Gustav_Klimt,Gustav_Klimt_43.jpg,#475854,#617678,#a1b1b7,331091,1858883,1922794
Gustav_Klimt,Gustav_Klimt_47.jpg,#2d3a2b,#7d8a7b,#cad5c9,380770,277800,367478
Gustav_Klimt,Gustav_Klimt_37.jpg,#9eb7d0,#393c3f,#51575c,71385,31539,71235
Gustav_Klimt,Gustav_Klimt_9.jpg,#698d7b,#48604d,#86b4ac,515876,301391,237453
Gustav_Klimt,Gustav_Klimt_21.jpg,#606169,#83919c,#bcccd6,453236,902369,881835
Gustav_Klimt,Gustav_Klimt_61.jpg,#326088,#1a1b22,#979f9e,179108,432552,278350
Gustav_Klimt,Gustav_Klimt_52.jpg,#cad7e1,#393941,#7886a1,412822,82853,166853
Gustav_Klimt,Gustav_Klimt_44.jpg,#697c69,#9dbab3,#2d3735,235288,418119,399265
Gustav_Klimt,Gustav_Klimt_25.jpg,#435469,#d0dceb,#6e91bb,14417,305068,69123
Gustav_Klimt,Gustav_Klimt_8.jpg,#bfc2b6,#868b7c,#4c5445,393217,313381,309210
Gustav_Klimt,Gustav_Klimt_66.jpg,#354235,#667367,#b5c1b6,286190,357867,143399
Gustav_Klimt,Gustav_Klimt_95.jpg,#a3b1b9,#545057,#687988,255129,244940,473755
Gustav_Klimt,Gustav_Klimt_15.jpg,#9badb7,#677584,#333846,1629696,1383894,1032386
Gustav_Klimt,Gustav_Klimt_69.jpg,#1e2b29,#4b6568,#8aafb8,270006,134384,344154
Gustav_Klimt,Gustav_Klimt_16.jpg,#2f2f44,#b0b4bc,#636973,1027014,1110021,1973301
Gustav_Klimt,Gustav_Klimt_109.jpg,#2391ba,#3eb6e0,#116685,580342,1149635,997020
Gustav_Klimt,Gustav_Klimt_100.jpg,#b2ccc1,#9aa28f,#737c68,214960,301319,530249
Gustav_Klimt,Gustav_Klimt_24.jpg,#4a5b8d,#6575b0,#334563,518892,250224,283556
Gustav_Klimt,Gustav_Klimt_11.jpg,#acb4b9,#222521,#5e6363,55956,80505,247539
Gustav_Klimt,Gustav_Klimt_33.jpg,#478684,#cedad8,#3a5f5e,1367983,1258790,357163
Gustav_Klimt,Gustav_Klimt_32.jpg,#b5d5e4,#7e97a1,#def8fc,249727,717832,83065
Gustav_Klimt,Gustav_Klimt_67.jpg,#1a442b,#6cc8b8,#5a8d6b,36619,71381,54006
Gustav_Klimt,Gustav_Klimt_74.jpg,#7c99b0,#343c42,#c2dcea,449733,128468,208308
Gustav_Klimt,Gustav_Klimt_23.jpg,#b1daf0,#4a5659,#8dafbd,605575,69348,50069
Gustav_Klimt,Gustav_Klimt_55.jpg,#868c22,#8f8b6b,#9c9b8e,660663,568231,169410
Gustav_Klimt,Gustav_Klimt_18.jpg,#756e79,#534049,#bfb8ac,284026,221606,53568
Gustav_Klimt,Gustav_Klimt_92.jpg,#d9d5d2,#2d425e,#5e9eca,507972,861940,1338000
Gustav_Klimt,Gustav_Klimt_6.jpg,#373741,#ababab,#4f5f69,464748,372092,220952
Gustav_Klimt,Gustav_Klimt_73.jpg,#78aec9,#5c809c,#6fa0bf,206022,147448,29990
Gustav_Klimt,Gustav_Klimt_106.jpg,#64b0c8,#a5e2f0,#3c4b59,357682,272797,193841
Gustav_Klimt,Gustav_Klimt_81.jpg,#bfc4ce,#5fb8df,#5c7b94,447128,238376,122432
Gustav_Klimt,Gustav_Klimt_28.jpg,#545567,#b6ccd9,#788ca4,331325,433112,282603
Gustav_Klimt,Gustav_Klimt_71.jpg,#d1d6d4,#70aece,#2f5a8f,793534,1417854,562812
