artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Henri_Matisse,Henri_Matisse_71.jpg,#323845,#b2b5bb,#527293,252895,141526,136779
Henri_Matisse,Henri_Matisse_12.jpg,#b0d1c8,#2997c0,#15293a,149117,179673,58970
Henri_Matisse,Henri_Matisse_56.jpg,#3d4148,#1c1b1c,#767e82,113702,40340,357958
Henri_Matisse,Henri_Matisse_90.jpg,#244bad,#879fb0,#414753,194746,167344,71798
Henri_Matisse,Henri_Matisse_158.jpg,#69702b,#c1c8cf,#1f89e8,36309,56778,48513
Henri_Matisse,Henri_Matisse_176.jpg,#60a2cb,#b6c6d9,#213f7c,108066,156835,138359
Henri_Matisse,Henri_Matisse_165.jpg,#1d58b6,#d4e4ea,#51b2d8,73122,304615,51055
Henri_Matisse,Henri_Matisse_89.jpg,#7cd7dd,#1d2032,#3f87a4,132641,121083,126004
Henri_Matisse,Henri_Matisse_151.jpg,#52879b,#163d75,#b1c2c8,117605,171957,128314
Henri_Matisse,Henri_Matisse_28.jpg,#151b24,#b69a88,#3e636d,194319,49100,139797
Henri_Matisse,Henri_Matisse_85.jpg,#5693d5,#392829,#cedcba,182097,76775,150882
Henri_Matisse,Henri_Matisse_8.jpg,#304351,#bddbd5,#71bdbc,121755,243382,50341
Henri_Matisse,Henri_Matisse_144.jpg,#91ae92,#33242e,#136ccb,118234,158933,124149
Henri_Matisse,Henri_Matisse_109.jpg,#322c49,#9fadc3,#576b95,172583,154672,108345
Henri_Matisse,Henri_Matisse_59.jpg,#2a4a5d,#bbc1ba,#46a2bf,152580,151786,120563
Henri_Matisse,Henri_Matisse_96.jpg,#2693ad,#26334d,#bacdcb,184514,134537,89144
Henri_Matisse,Henri_Matisse_132.jpg,#253d2a,#18709c,#72857b,26507,138137,35756
Henri_Matisse,Henri_Matisse_116.jpg,#31adb4,#265154,#9f9f8f,153656,127127,159317
Henri_Matisse,Henri_Matisse_45.jpg,#111e22,#978b71,#138ab1,29263,183507,185540
Henri_Matisse,Henri_Matisse_141.jpg,#242a4c,#5b6985,#9ea1af,252125,89652,57071
Henri_Matisse,Henri_Matisse_185.jpg,#1d294a,#8fbcd5,#2344ac,207730,177897,128334
Henri_Matisse,Henri_Matisse_174.jpg,#6ec4eb,#144856,#2a89cc,160168,127234,49110
Henri_Matisse,Henri_Matisse_19.jpg,#aeccd6,#21344f,#688ba7,211978,132216,91514
Henri_Matisse,Henri_Matisse_25.jpg,#4875b6,#271f2e,#b97e8e,160332,75755,153321
Henri_Matisse,Henri_Matisse_131.jpg,#584660,#bd9385,#a8d3e0,45169,225599,116577
Henri_Matisse,Henri_Matisse_83.jpg,#b5d1ce,#4394be,#164fa2,133268,207922,74613
Henri_Matisse,Henri_Matisse_183.jpg,#1e314d,#2568ac,#8f9bb1,140974,86676,163370
Henri_Matisse,Henri_Matisse_87.jpg,#0e58cb,#75aabf,#36525b,148478,81121,202752
Henri_Matisse,Henri_Matisse_126.jpg,#464ecc,#836349,#40c4db,102746,166210,156051
Henri_Matisse,Henri_Matisse_167.jpg,#3e657d,#a2b8b2,#131c21,232335,102944,60505
Henri_Matisse,Henri_Matisse_14.jpg,#654d4a,#1f7064,#41a5b5,113210,83866,220896
Henri_Matisse,Henri_Matisse_119.jpg,#95342a,#3b77c9,#2c2726,224626,83882,91578
Henri_Matisse,Henri_Matisse_80.jpg,#2f374e,#a9b5c1,#527e94,102652,114107,138921
Henri_Matisse,Henri_Matisse_65.jpg,#1d9ed0,#334250,#969b9b,228387,120703,45578
Henri_Matisse,Henri_Matisse_39.jpg,#357087,#1e2e38,#6eb7be,186004,99713,126083
Henri_Matisse,Henri_Matisse_66.jpg,#606c63,#b6b0ad,#172737,168145,98404,75849
Henri_Matisse,Henri_Matisse_61.jpg,#385e6b,#142939,#aeab9e,272365,49177,42274
Henri_Matisse,Henri_Matisse_154.jpg,#b9a29d,#2050bb,#2a3041,170345,165283,72692
Henri_Matisse,Henri_Matisse_20.jpg,#bd413e,#629fdb,#2e4d43,104310,164470,135002
Henri_Matisse,Henri_Matisse_51.jpg,#5887af,#23425b,#0d1621,60633,82124,217462
Henri_Matisse,Henri_Matisse_37.jpg,#b6c8cc,#182126,#3b7ea4,207477,111037,126134
Henri_Matisse,Henri_Matisse_123.jpg,#1d3258,#6ab5d5,#2d71a6,173554,92618,118254
Henri_Matisse,Henri_Matisse_148.jpg,#b6d2c9,#5c8aa0,#1a3d43,107999,157459,123342
Henri_Matisse,Henri_Matisse_57.jpg,#659592,#5c4e16,#151707,100371,211899,92451
Henri_Matisse,Henri_Matisse_112.jpg,#3671b2,#85b1b8,#52534b,219892,262340,246600
Henri_Matisse,Henri_Matisse_70.jpg,#377a9c,#82c5cc,#10283a,167775,189353,58808
Henri_Matisse,Henri_Matisse_33.jpg,#447f8c,#a8b0b2,#253e56,176729,77751,142735
Henri_Matisse,Henri_Matisse_18.jpg,#91d6dd,#2d9cc1,#1f5647,110583,134152,133252
Henri_Matisse,Henri_Matisse_63.jpg,#8baac0,#22598e,#0f2651,110512,182523,123559
Henri_Matisse,Henri_Matisse_152.jpg,#1e677d,#56aaab,#132b39,142851,125224,129257
Henri_Matisse,Henri_Matisse_76.jpg,#67a4a1,#c9e2e5,#264c57,219136,98922,75812
Henri_Matisse,Henri_Matisse_177.jpg,#518d83,#73bee4,#16323b,160201,178985,64336
Henri_Matisse,Henri_Matisse_171.jpg,#163657,#347fa6,#aac5c6,88141,170763,157397
Henri_Matisse,Henri_Matisse_30.jpg,#463d4e,#787f8b,#a7b7b9,176670,160399,98051
Henri_Matisse,Henri_Matisse_170.jpg,#5b7894,#9cb4d0,#1b2638,155852,125956,92016
Henri_Matisse,Henri_Matisse_101.jpg,#998383,#d6a198,#24455a,54103,139095,235585
Henri_Matisse,Henri_Matisse_52.jpg,#682f2c,#113da4,#322b2e,156896,117442,137786
Henri_Matisse,Henri_Matisse_140.jpg,#34445e,#747f5c,#889ca5,78678,84330,47592
Henri_Matisse,Henri_Matisse_166.jpg,#865952,#64b1d2,#1b2649,127595,224950,77871
Henri_Matisse,Henri_Matisse_135.jpg,#9f8b84,#2b2935,#2247a4,227617,75182,119913
Henri_Matisse,Henri_Matisse_113.jpg,#192937,#9db0b9,#4c7a8e,101614,110428,171530
Henri_Matisse,Henri_Matisse_182.jpg,#5a5757,#433a3c,#d8dadd,15612,158626,191862
Henri_Matisse,Henri_Matisse_88.jpg,#1a2433,#102a85,#7fb5b8,231188,160942,45870
Henri_Matisse,Henri_Matisse_103.jpg,#324753,#a4959a,#2380a2,102191,207728,80917
Henri_Matisse,Henri_Matisse_178.jpg,#5f4e62,#cdc8da,#4e7fc7,176908,154545,119557
Henri_Matisse,Henri_Matisse_99.jpg,#c3e2e0,#7c7882,#113672,187479,131396,76630
Henri_Matisse,Henri_Matisse_5.jpg,#2abce1,#baa39b,#1231a0,250547,85086,112295
Henri_Matisse,Henri_Matisse_172.jpg,#312933,#9ec5d1,#245da6,115079,110927,164690
Henri_Matisse,Henri_Matisse_94.jpg,#1a2335,#6d9283,#ae948c,96234,75104,222844
Henri_Matisse,Henri_Matisse_77.jpg,#2e3f9b,#201c29,#7f9dbd,206779,292746,44475
Henri_Matisse,Henri_Matisse_92.jpg,#4d4d6b,#9198a9,#1a192c,114336,202675,75605
Henri_Matisse,Henri_Matisse_153.jpg,#111a22,#828eb4,#338775,259434,81244,37650
Henri_Matisse,Henri_Matisse_40.jpg,#728171,#413f41,#9bc3dc,209645,267842,228113
Henri_Matisse,Henri_Matisse_156.jpg,#476094,#1b2739,#88a7c9,38808,19966,47426
Henri_Matisse,Henri_Matisse_145.jpg,#21555d,#d8d8c4,#7aa8ad,158300,112959,154981
Henri_Matisse,Henri_Matisse_1.jpg,#0f1e32,#1d5f79,#4da5b0,110341,161769,146791
Henri_Matisse,Henri_Matisse_127.jpg,#11233d,#778aa3,#173f8b,136802,137888,105277
Henri_Matisse,Henri_Matisse_93.jpg,#3a0d07,#89341a,#125279,263017,155031,22326
Henri_Matisse,Henri_Matisse_168.jpg,#1d1912,#97856d,#306296,76461,10034,308875
Henri_Matisse,Henri_Matisse_91.jpg,#caa1a2,#273f46,#5c8699,125949,142862,139128
Henri_Matisse,Henri_Matisse_72.jpg,#415d31,#7f8260,#167299,227521,124075,41363
Henri_Matisse,Henri_Matisse_117.jpg,#456368,#282929,#7ba69b,97865,145717,182591
Henri_Matisse,Henri_Matisse_102.jpg,#b6bbc9,#26364d,#548c98,173934,141038,83876
Henri_Matisse,Henri_Matisse_49.jpg,#143769,#8fcfde,#2c98b2,87610,121204,149586
Henri_Matisse,Henri_Matisse_31.jpg,#a1a6c4,#2b3845,#22bde0,261494,103646,72780
Henri_Matisse,Henri_Matisse_107.jpg,#101f1a,#5a5f40,#0a7ba3,183669,110090,138856
Henri_Matisse,Henri_Matisse_16.jpg,#93a9cc,#32d0e1,#3e4b53,130913,97082,178058
Henri_Matisse,Henri_Matisse_137.jpg,#b8817b,#6b3f4b,#2494c2,205766,168133,34297
Henri_Matisse,Henri_Matisse_42.jpg,#355d89,#39c2d1,#92a9c4,170880,105256,156042
Henri_Matisse,Henri_Matisse_104.jpg,#5094aa,#243f58,#c1b3aa,130671,119667,137560
Henri_Matisse,Henri_Matisse_21.jpg,#20caec,#395796,#a7b7cb,69200,157504,185624
Henri_Matisse,Henri_Matisse_108.jpg,#746858,#829eab,#2b321a,200184,124936,43130
Henri_Matisse,Henri_Matisse_73.jpg,#5e9c9a,#367273,#123638,179225,156519,102986
Henri_Matisse,Henri_Matisse_120.jpg,#70a5b0,#145bb2,#26423e,180974,120852,107188
Henri_Matisse,Henri_Matisse_68.jpg,#e0f5f0,#3174be,#44493f,145811,95959,184335
Henri_Matisse,Henri_Matisse_155.jpg,#20639d,#122b43,#8eb8d7,356802,208341,119109
Henri_Matisse,Henri_Matisse_118.jpg,#2b58b6,#112049,#9c9bac,258387,83548,64705
Henri_Matisse,Henri_Matisse_161.jpg,#45757f,#13272c,#8dd4d1,20122,36143,30095
Henri_Matisse,Henri_Matisse_82.jpg,#09227e,#b8888d,#504f7a,146934,63120,193258
Henri_Matisse,Henri_Matisse_150.jpg,#486c82,#1e3451,#84aab4,89426,120241,188533
Henri_Matisse,Henri_Matisse_143.jpg,#82cac3,#1f363a,#3d8f9a,194880,137969,98047
Henri_Matisse,Henri_Matisse_53.jpg,#3f424f,#77d7e5,#093edb,128271,79226,203147
Henri_Matisse,Henri_Matisse_146.jpg,#152430,#093696,#5a7b8f,132907,129440,178317
Henri_Matisse,Henri_Matisse_15.jpg,#229787,#7dadbb,#257061,229076,112639,65237
Henri_Matisse,Henri_Matisse_186.jpg,#5291bd,#151d2a,#2b4b6f,310033,72235,295784
Henri_Matisse,Henri_Matisse_121.jpg,#cadcdc,#234b73,#77a1a8,129082,126406,155899
