artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Joan_Miro,Joan_Miro_9.jpg,#b2b4b8,#6f7488,#35383d,113029,27782,36509
Joan_Miro,Joan_Miro_99.jpg,#dee7f1,#1e282e,#56b8c5,590746,65721,129965
Joan_Miro,Joan_Miro_47.jpg,#7abad9,#284c6b,#b05351,157919,126303,135078
Joan_Miro,Joan_Miro_80.jpg,#b7372a,#ce4132,#291b34,149963,264527,2524
Joan_Miro,Joan_Miro_64.jpg,#384870,#cfcfcd,#ba4834,144422,221647,35081
Joan_Miro,Joan_Miro_55.jpg,#b34f56,#d78a8c,#733b4f,130542,264915,39131
Joan_Miro,Joan_Miro_24.jpg,#554566,#1c7bb3,#251d3b,181647,161070,35293
Joan_Miro,Joan_Miro_65.jpg,#d1e9e5,#1747c9,#5b3d58,306638,44050,93182
Joan_Miro,Joan_Miro_62.jpg,#503a3a,#f6f2e0,#0f91e4,15091,366203,37466
Joan_Miro,Joan_Miro_37.jpg,#293f5f,#5790c9,#17cefb,89013,139458,160473
Joan_Miro,Joan_Miro_54.jpg,#c4f1ea,#3e4247,#13e2f0,244683,44287,133122
Joan_Miro,Joan_Miro_29.jpg,#aa5965,#92b9d6,#bee9fb,38025,373288,13567
Joan_Miro,Joan_Miro_27.jpg,#48525f,#6b828b,#92ada8,188753,155823,78365
Joan_Miro,Joan_Miro_10.jpg,#585d6d,#c6c8c9,#1c181f,21041,160272,42287
Joan_Miro,Joan_Miro_36.jpg,#3a7594,#20263a,#6ccecf,111420,149911,185709
Joan_Miro,Joan_Miro_12.jpg,#77858a,#e0ebf1,#485656,51447,90300,90173
Joan_Miro,Joan_Miro_91.jpg,#3d3931,#999a98,#6f645a,35927,107006,37547
Joan_Miro,Joan_Miro_20.jpg,#49a4d1,#1d4fad,#191419,592349,249432,157204
Joan_Miro,Joan_Miro_39.jpg,#3dc6c6,#2d5c74,#ce5557,70577,223482,133691
Joan_Miro,Joan_Miro_79.jpg,#dd4335,#202bb7,#542137,401538,7902,9627
Joan_Miro,Joan_Miro_94.jpg,#31588c,#304551,#3368a0,128530,96372,28937
Joan_Miro,Joan_Miro_49.jpg,#90d7e0,#1f2a5b,#518fbb,122609,245817,44510
Joan_Miro,Joan_Miro_93.jpg,#d9d7cc,#c0b4ac,#a9958b,116264,65142,60400
Joan_Miro,Joan_Miro_31.jpg,#29589d,#c42329,#831d2c,81213,158338,204542
Joan_Miro,Joan_Miro_11.jpg,#4a6f7e,#141d26,#70a8b7,74088,46965,47697
Joan_Miro,Joan_Miro_56.jpg,#86c7e0,#1c1c2c,#262b4f,257165,157180,15117
