artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Kazimir_Malevich,Kazimir_Malevich_68.jpg,#2d2c33,#a0a0a1,#858486,221642,172874,65566
Kazimir_Malevich,Kazimir_Malevich_4.jpg,#3c525f,#1d1f27,#7d9299,111471,142980,247549
Kazimir_Malevich,Kazimir_Malevich_24.jpg,#b4bbbf,#272639,#69717e,232008,364060,295932
Kazimir_Malevich,Kazimir_Malevich_51.jpg,#403946,#5872d2,#bde2ee,44084,186214,37302
Kazimir_Malevich,Kazimir_Malevich_36.jpg,#23222b,#d5d5d5,#909092,720840,40134,123026
Kazimir_Malevich,Kazimir_Malevich_76.jpg,#261c26,#8b95c5,#7a5c3e,108549,93528,60123
Kazimir_Malevich,Kazimir_Malevich_78.jpg,#3f8d9c,#77bce6,#4ba9d3,107991,72012,193797
Kazimir_Malevich,Kazimir_Malevich_50.jpg,#627a84,#1e252e,#9bb8c4,339476,215081,222443
Kazimir_Malevich,Kazimir_Malevich_73.jpg,#84808d,#b0e2f1,#3a3c4b,202817,28543,12026
Kazimir_Malevich,Kazimir_Malevich_28.jpg,#676975,#2e2c36,#b5c8db,294043,64552,87005
Kazimir_Malevich,Kazimir_Malevich_40.jpg,#bce5ee,#3a5656,#7ca1a6,174430,74834,51336
Kazimir_Malevich,Kazimir_Malevich_88.jpg,#4faed9,#c4cdd3,#3689c9,325947,61152,248901
Kazimir_Malevich,Kazimir_Malevich_65.jpg,#c3c9dd,#392b2e,#8e6c79,225915,37300,52985
Kazimir_Malevich,Kazimir_Malevich_115.jpg,#40402f,#aec2cf,#3d2bac,146038,72421,48541
Kazimir_Malevich,Kazimir_Malevich_119.jpg,#453f42,#343033,#e8e4e1,372519,270792,352689
Kazimir_Malevich,Kazimir_Malevich_48.jpg,#865c48,#cad0d5,#2e2d4e,200344,50382,48674
Kazimir_Malevich,Kazimir_Malevich_126.jpg,#8e8f98,#cad4de,#626255,120346,64992,56462
Kazimir_Malevich,Kazimir_Malevich_42.jpg,#fdfdfd,#080809,#717072,267180,11479,93869
Kazimir_Malevich,Kazimir_Malevich_38.jpg,#7d9d94,#324944,#c4e2e0,187539,78876,68985
Kazimir_Malevich,Kazimir_Malevich_95.jpg,#cad0d1,#080606,#dfe4e4,38498,97553,232349
Kazimir_Malevich,Kazimir_Malevich_27.jpg,#c5dde3,#7f796c,#74b5d5,142653,91729,113618
Kazimir_Malevich,Kazimir_Malevich_108.jpg,#c2cad3,#393446,#945c3c,117553,149262,149985
Kazimir_Malevich,Kazimir_Malevich_64.jpg,#d6dce5,#945758,#6db0e5,174032,33145,17223
Kazimir_Malevich,Kazimir_Malevich_39.jpg,#372c2b,#495e66,#6e939b,485183,232106,136711
Kazimir_Malevich,Kazimir_Malevich_85.jpg,#82847e,#bec2be,#434341,412441,251973,252586
Kazimir_Malevich,Kazimir_Malevich_74.jpg,#fcfcfc,#19181d,#88868a,364627,42107,70457
Kazimir_Malevich,Kazimir_Malevich_114.jpg,#171924,#527ba8,#3f4966,339199,312392,343409
Kazimir_Malevich,Kazimir_Malevich_45.jpg,#d0e1e9,#404444,#8e9294,271844,23726,21230
Kazimir_Malevich,Kazimir_Malevich_72.jpg,#bdced9,#2d342d,#3966b7,489938,110088,238974
Kazimir_Malevich,Kazimir_Malevich_91.jpg,#e5e3e3,#1e1c20,#8e8c91,670606,122116,109278
Kazimir_Malevich,Kazimir_Malevich_53.jpg,#fbfbfb,#3d75d8,#2e1826,410483,63310,62207
Kazimir_Malevich,Kazimir_Malevich_121.jpg,#a2b3bf,#40333e,#c5d3dd,168156,228396,38448
Kazimir_Malevich,Kazimir_Malevich_18.jpg,#e5f2f3,#2d221a,#0aa4e9,474839,32072,168995
Kazimir_Malevich,Kazimir_Malevich_32.jpg,#375690,#25262b,#6d9ec2,178907,241979,554114
Kazimir_Malevich,Kazimir_Malevich_58.jpg,#a5a191,#cad6dc,#757355,129267,76762,97571
Kazimir_Malevich,Kazimir_Malevich_112.jpg,#dae7f2,#3c4757,#8e9bab,212387,73509,64504
Kazimir_Malevich,Kazimir_Malevich_1.jpg,#826777,#aabdbd,#e1f5f9,49290,92340,84570
Kazimir_Malevich,Kazimir_Malevich_6.jpg,#9e8789,#cfeff7,#49505d,147068,50930,24310
Kazimir_Malevich,Kazimir_Malevich_52.jpg,#8c8c8d,#fdfdfd,#151517,203392,7343,15751
Kazimir_Malevich,Kazimir_Malevich_12.jpg,#90bae8,#6585bc,#353d4d,173247,209949,30404
Kazimir_Malevich,Kazimir_Malevich_105.jpg,#b0b9d3,#5f57b3,#442e3c,111875,44961,146764
Kazimir_Malevich,Kazimir_Malevich_60.jpg,#372322,#d9cfc3,#e8e4dd,87180,409683,199137
Kazimir_Malevich,Kazimir_Malevich_19.jpg,#759fb1,#99c6d2,#182c31,504827,130996,30510
Kazimir_Malevich,Kazimir_Malevich_2.jpg,#a0bebc,#d4eeed,#617d7d,54164,126265,243771
Kazimir_Malevich,Kazimir_Malevich_21.jpg,#242c93,#a7a6af,#2b232e,272691,184495,119814
Kazimir_Malevich,Kazimir_Malevich_98.jpg,#508eb3,#c2c8c4,#2b1e26,28668,505012,85320
