artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Mikhail_Vrubel,Mikhail_Vrubel_147.jpg,#5b89ba,#2a3c5e,#d1e9f2,181831,179050,220119
Mikhail_Vrubel,Mikhail_Vrubel_58.jpg,#8c8b8a,#595556,#332a2d,207124,349560,59316
Mikhail_Vrubel,Mikhail_Vrubel_133.jpg,#735f57,#3f3632,#afa192,107596,243803,358601
Mikhail_Vrubel,Mikhail_Vrubel_74.jpg,#3e3d4c,#b6b4b6,#82818b,348157,222027,129816
Mikhail_Vrubel,Mikhail_Vrubel_114.jpg,#212428,#3b4450,#59728e,214512,353648,109840
Mikhail_Vrubel,Mikhail_Vrubel_41.jpg,#1e2227,#99c9dd,#465b7d,141431,118401,356168
Mikhail_Vrubel,Mikhail_Vrubel_40.jpg,#9fc1cf,#424a52,#232223,96750,621372,33878
Mikhail_Vrubel,Mikhail_Vrubel_96.jpg,#b5c8da,#383a71,#778eb8,229918,161592,200490
Mikhail_Vrubel,Mikhail_Vrubel_129.jpg,#2b2735,#8fb4d6,#4f5a7a,517813,84758,44429
Mikhail_Vrubel,Mikhail_Vrubel_44.jpg,#f7f7f7,#535454,#a5a6a5,409251,133049,144700
Mikhail_Vrubel,Mikhail_Vrubel_110.jpg,#4b5e81,#31374a,#668eba,240319,235971,265710
Mikhail_Vrubel,Mikhail_Vrubel_6.jpg,#2e2e48,#8899ad,#c7d0d4,211864,315582,205554
Mikhail_Vrubel,Mikhail_Vrubel_8.jpg,#aac2d9,#6182b0,#2e4170,82732,113993,99275
Mikhail_Vrubel,Mikhail_Vrubel_128.jpg,#484848,#cecece,#9a9a9a,208197,83849,294954
Mikhail_Vrubel,Mikhail_Vrubel_63.jpg,#567384,#8db4c9,#1e2831,290041,253529,445430
Mikhail_Vrubel,Mikhail_Vrubel_157.jpg,#2f3f4b,#94b7bc,#68858b,243076,306139,246785
Mikhail_Vrubel,Mikhail_Vrubel_55.jpg,#6e8cae,#96b8d4,#45577c,121343,163759,147898
Mikhail_Vrubel,Mikhail_Vrubel_93.jpg,#5d696b,#303338,#7b8f92,259161,156724,206115
Mikhail_Vrubel,Mikhail_Vrubel_88.jpg,#5f7b81,#273236,#cfdadb,325381,176244,94375
Mikhail_Vrubel,Mikhail_Vrubel_132.jpg,#4a4a52,#24252b,#7b7a81,115479,45563,193958
Mikhail_Vrubel,Mikhail_Vrubel_87.jpg,#1d1f29,#f8f9fa,#485368,49620,134656,472724
Mikhail_Vrubel,Mikhail_Vrubel_54.jpg,#fbfbfc,#7997b0,#4a6075,79395,192651,117954
Mikhail_Vrubel,Mikhail_Vrubel_135.jpg,#9a9a9a,#595959,#d2d2d2,424353,275224,196423
Mikhail_Vrubel,Mikhail_Vrubel_32.jpg,#4a4a4a,#9c9c9c,#e2e2e2,155950,211832,196518
Mikhail_Vrubel,Mikhail_Vrubel_15.jpg,#bbdbe2,#638088,#3b4444,299235,179038,165727
Mikhail_Vrubel,Mikhail_Vrubel_156.jpg,#7d7d7d,#3e3e3e,#bebebe,177871,184612,188517
Mikhail_Vrubel,Mikhail_Vrubel_98.jpg,#6a8897,#212123,#3f464b,123376,221700,519924
Mikhail_Vrubel,Mikhail_Vrubel_69.jpg,#a3a3a3,#3b3b3b,#787878,256369,144536,261095
Mikhail_Vrubel,Mikhail_Vrubel_163.jpg,#c7d9e6,#3b354d,#798cab,444922,130507,341571
Mikhail_Vrubel,Mikhail_Vrubel_168.jpg,#7789a1,#4a5873,#2c3241,66028,167771,126201
Mikhail_Vrubel,Mikhail_Vrubel_65.jpg,#c2b6a9,#453539,#7b6562,489290,221210,147500
Mikhail_Vrubel,Mikhail_Vrubel_141.jpg,#494244,#a4b7c0,#7a6d67,349644,226673,87683
Mikhail_Vrubel,Mikhail_Vrubel_85.jpg,#464d49,#262927,#6c848b,285604,390557,120839
Mikhail_Vrubel,Mikhail_Vrubel_107.jpg,#acb5bf,#625e67,#373036,319059,204716,222225
Mikhail_Vrubel,Mikhail_Vrubel_164.jpg,#7c7c7c,#444444,#aeaeae,318683,258559,207758
Mikhail_Vrubel,Mikhail_Vrubel_95.jpg,#24272d,#829ca6,#4f606e,182112,296699,478189
Mikhail_Vrubel,Mikhail_Vrubel_92.jpg,#565b51,#acadaa,#86867e,302107,235010,231883
Mikhail_Vrubel,Mikhail_Vrubel_37.jpg,#4d5e81,#88c8e7,#363b50,253103,308665,37232
Mikhail_Vrubel,Mikhail_Vrubel_17.jpg,#cec7ca,#362936,#877c83,479658,113101,159241
Mikhail_Vrubel,Mikhail_Vrubel_9.jpg,#3f507d,#b9d9ed,#7b9ec3,193556,198765,120679
Mikhail_Vrubel,Mikhail_Vrubel_82.jpg,#262e3f,#6383a3,#a3c6d8,249940,216349,178711
Mikhail_Vrubel,Mikhail_Vrubel_111.jpg,#313842,#92acbf,#556579,341470,256039,79491
Mikhail_Vrubel,Mikhail_Vrubel_94.jpg,#4171a9,#4c5156,#2c262e,176042,255857,159101
Mikhail_Vrubel,Mikhail_Vrubel_118.jpg,#91a8b7,#282d36,#5e6b77,594654,75990,102356
Mikhail_Vrubel,Mikhail_Vrubel_38.jpg,#585451,#29292c,#888987,226159,183694,71147
