artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Paul_Gauguin,Paul_Gauguin_14.jpg,#484219,#b6b6b0,#71696f,1062172,299908,494944
Paul_Gauguin,Paul_Gauguin_253.jpg,#7f918a,#525b4b,#ecd4c1,183452,228362,328064
Paul_Gauguin,Paul_Gauguin_119.jpg,#5e5c5c,#838691,#383232,256135,393477,303681
Paul_Gauguin,Paul_Gauguin_300.jpg,#6b8393,#33373a,#a8c4d5,202075,109578,519835
Paul_Gauguin,Paul_Gauguin_244.jpg,#4c5156,#c7d4d1,#8e9a9c,274993,295929,135638
Paul_Gauguin,Paul_Gauguin_99.jpg,#6d7a8c,#3e3633,#c9c6c1,426031,440506,338263
Paul_Gauguin,Paul_Gauguin_163.jpg,#466475,#383f2d,#7f848d,285143,272833,212072
Paul_Gauguin,Paul_Gauguin_7.jpg,#80aab8,#423f30,#727767,201961,208969,203470
Paul_Gauguin,Paul_Gauguin_145.jpg,#6c5541,#5ec5e2,#3f5499,142800,213410,342158
Paul_Gauguin,Paul_Gauguin_186.jpg,#7a7561,#6f949f,#aeb3b4,314877,247849,240090
Paul_Gauguin,Paul_Gauguin_247.jpg,#71746f,#659fad,#b6aba9,191898,327968,299334
Paul_Gauguin,Paul_Gauguin_279.jpg,#1e2839,#3b5375,#91a9b9,459208,312618,89515
Paul_Gauguin,Paul_Gauguin_2.jpg,#4a494c,#9d7b6d,#6bb0bc,1361121,1571898,1078632
Paul_Gauguin,Paul_Gauguin_138.jpg,#81abc3,#526779,#2a2932,378127,301994,390936
Paul_Gauguin,Paul_Gauguin_303.jpg,#384142,#595853,#63737b,1336811,856930,1136259
Paul_Gauguin,Paul_Gauguin_110.jpg,#413f34,#5374a3,#506174,296213,193260,372735
Paul_Gauguin,Paul_Gauguin_100.jpg,#7995c7,#737d75,#5d4c38,285379,379126,148551
Paul_Gauguin,Paul_Gauguin_238.jpg,#9c948f,#716863,#bcb6b4,122765,253215,403284
Paul_Gauguin,Paul_Gauguin_12.jpg,#abbdc5,#423336,#747488,222996,312749,220471
Paul_Gauguin,Paul_Gauguin_236.jpg,#5a5b53,#5d8fa2,#3e3830,182017,503691,774312
Paul_Gauguin,Paul_Gauguin_219.jpg,#7d9ba1,#7b7366,#625645,312511,160269,194868
Paul_Gauguin,Paul_Gauguin_121.jpg,#9dacb2,#757b73,#4b4b39,380497,278812,162963
Paul_Gauguin,Paul_Gauguin_137.jpg,#484843,#4c92ab,#78736c,398316,235110,204206
Paul_Gauguin,Paul_Gauguin_209.jpg,#4473ae,#52644e,#afb1a1,430276,268106,120818
Paul_Gauguin,Paul_Gauguin_101.jpg,#5d777c,#8ab5c0,#3f4346,406249,282146,173949
Paul_Gauguin,Paul_Gauguin_203.jpg,#35363b,#647788,#acb8bc,224677,233392,395599
Paul_Gauguin,Paul_Gauguin_51.jpg,#564535,#9c9d97,#4f6792,519192,124646,157954
Paul_Gauguin,Paul_Gauguin_146.jpg,#93dbf0,#5c80aa,#3d4f6e,719540,948972,263408
Paul_Gauguin,Paul_Gauguin_251.jpg,#232c34,#85a8ad,#4d7074,397726,283533,507011
Paul_Gauguin,Paul_Gauguin_274.jpg,#8e8d89,#575e61,#39342b,306688,291021,129765
Paul_Gauguin,Paul_Gauguin_114.jpg,#92aac5,#2b2e3a,#4e6386,303160,452721,233482
Paul_Gauguin,Paul_Gauguin_283.jpg,#7a8c94,#bfbab4,#4e5952,260349,332798,263941
Paul_Gauguin,Paul_Gauguin_79.jpg,#4b4f4f,#dcd7ca,#a6a198,419399,235213,407022
Paul_Gauguin,Paul_Gauguin_282.jpg,#233f49,#dae7eb,#7ad9ed,61298,527241,125189
Paul_Gauguin,Paul_Gauguin_8.jpg,#4d6a6a,#44462f,#5d90a3,258448,307548,267540
Paul_Gauguin,Paul_Gauguin_169.jpg,#627175,#93a391,#a6c6ca,363150,167447,279387
Paul_Gauguin,Paul_Gauguin_65.jpg,#bdc8c5,#7f8e96,#3d414c,455892,342059,158573
Paul_Gauguin,Paul_Gauguin_224.jpg,#adc2b9,#7a837a,#4b493c,267706,277280,201510
Paul_Gauguin,Paul_Gauguin_45.jpg,#7a8284,#3b4141,#cfd8d9,349139,94704,224829
Paul_Gauguin,Paul_Gauguin_3.jpg,#3f433a,#b1b6b5,#637679,177428,305752,250004
Paul_Gauguin,Paul_Gauguin_168.jpg,#8595b4,#595544,#6a7580,253366,196888,223538
Paul_Gauguin,Paul_Gauguin_156.jpg,#4b5862,#393c40,#557588,269806,110955,159675
Paul_Gauguin,Paul_Gauguin_22.jpg,#a9b3bc,#728a97,#5d563e,399192,289227,138973
Paul_Gauguin,Paul_Gauguin_10.jpg,#524e33,#88a2b0,#6d7279,237308,433217,154819
Paul_Gauguin,Paul_Gauguin_159.jpg,#2c322d,#2d4566,#647477,429476,327603,53929
Paul_Gauguin,Paul_Gauguin_44.jpg,#354a63,#1d2125,#5d9cb2,1217467,308887,225640
Paul_Gauguin,Paul_Gauguin_150.jpg,#556983,#5398ba,#494b3f,525363,566059,527750
Paul_Gauguin,Paul_Gauguin_268.jpg,#c8bda9,#384d3f,#6a8f83,381014,427643,247823
Paul_Gauguin,Paul_Gauguin_116.jpg,#687e9f,#c1c6d4,#3f454b,3493330,2061871,2073551
Paul_Gauguin,Paul_Gauguin_275.jpg,#333c49,#b5bec9,#54667e,815498,231923,151939
Paul_Gauguin,Paul_Gauguin_277.jpg,#648dae,#394c55,#457292,306445,110221,211046
Paul_Gauguin,Paul_Gauguin_185.jpg,#b2b0b1,#3c3d39,#5e749a,121605,228928,502459
Paul_Gauguin,Paul_Gauguin_122.jpg,#75798d,#babdb8,#574e50,256213,313355,281376
Paul_Gauguin,Paul_Gauguin_92.jpg,#5a6b79,#a2b3bb,#2c2d31,353554,427018,222267
Paul_Gauguin,Paul_Gauguin_157.jpg,#5990cc,#242928,#515974,645018,577781,445466
Paul_Gauguin,Paul_Gauguin_132.jpg,#b8c2c6,#595450,#84857e,253572,273297,200171
Paul_Gauguin,Paul_Gauguin_214.jpg,#3d6498,#363843,#6eacc8,434088,177252,204788
Paul_Gauguin,Paul_Gauguin_87.jpg,#5c7186,#a0a4e1,#49474c,487029,714106,464085
Paul_Gauguin,Paul_Gauguin_304.jpg,#a99e92,#403d3d,#4771a6,337616,259872,236042
Paul_Gauguin,Paul_Gauguin_23.jpg,#648495,#b6bcb9,#494c47,192499,418669,281760
Paul_Gauguin,Paul_Gauguin_230.jpg,#bdc1c2,#4f6194,#363d54,235958,349876,410966
Paul_Gauguin,Paul_Gauguin_248.jpg,#7a685f,#7f99b0,#603828,216742,268319,242031
Paul_Gauguin,Paul_Gauguin_90.jpg,#8098cb,#525f73,#a3c6e5,216349,137690,167177
Paul_Gauguin,Paul_Gauguin_9.jpg,#585b5e,#2e303c,#9dadb1,116905,223852,504043
Paul_Gauguin,Paul_Gauguin_232.jpg,#527b8a,#504b4a,#96a19f,131828,334537,366147
Paul_Gauguin,Paul_Gauguin_266.jpg,#131825,#4c71a0,#23304f,516974,455233,75126
Paul_Gauguin,Paul_Gauguin_149.jpg,#39414a,#a7a6a0,#7e7c76,425504,296765,142101
Paul_Gauguin,Paul_Gauguin_216.jpg,#3b5a68,#7dabc4,#e2e8ea,49197,398058,348393
Paul_Gauguin,Paul_Gauguin_212.jpg,#629cc8,#5a6e74,#4a4e44,349469,421520,197715
Paul_Gauguin,Paul_Gauguin_225.jpg,#89a5bf,#6b7880,#50544a,232693,290286,155933
Paul_Gauguin,Paul_Gauguin_298.jpg,#72796c,#5b5443,#829c9b,363954,256336,248062
Paul_Gauguin,Paul_Gauguin_269.jpg,#63615a,#3f352c,#83847b,392337,276914,247229
Paul_Gauguin,Paul_Gauguin_217.jpg,#3d7285,#3a3423,#7e6c4d,348294,287707,176031
Paul_Gauguin,Paul_Gauguin_103.jpg,#5b5859,#89a4b9,#50878a,147806,238248,461818
Paul_Gauguin,Paul_Gauguin_55.jpg,#365079,#2a322c,#749193,260796,529454,829750
Paul_Gauguin,Paul_Gauguin_13.jpg,#4b6066,#6aa1b6,#272c2a,722991,986677,632332
Paul_Gauguin,Paul_Gauguin_288.jpg,#7f96a1,#41535b,#c2dfee,515943,123849,146640
Paul_Gauguin,Paul_Gauguin_307.jpg,#343b2d,#c3bfa9,#5b8381,279431,282158,259659
Paul_Gauguin,Paul_Gauguin_141.jpg,#819ea6,#91b5c4,#6d7c7f,430871,280480,144713
Paul_Gauguin,Paul_Gauguin_139.jpg,#8bccd9,#355b5d,#599caf,41002,295699,353475
Paul_Gauguin,Paul_Gauguin_287.jpg,#8ebbce,#4d8298,#364955,418442,178199,197983
Paul_Gauguin,Paul_Gauguin_91.jpg,#59637d,#a2c1c8,#2d2b41,316182,413155,349097
Paul_Gauguin,Paul_Gauguin_102.jpg,#78aab6,#7a8454,#89d1ec,534043,169508,156609
Paul_Gauguin,Paul_Gauguin_197.jpg,#adab9c,#554d3a,#5c7576,261246,335874,236416
Paul_Gauguin,Paul_Gauguin_84.jpg,#394046,#fdfdfd,#9cbbcb,238287,424587,258726
Paul_Gauguin,Paul_Gauguin_124.jpg,#44597b,#8b92a0,#392e32,849621,610399,263948
Paul_Gauguin,Paul_Gauguin_237.jpg,#577481,#92a9b4,#2d3039,324909,455604,258262
Paul_Gauguin,Paul_Gauguin_187.jpg,#59543c,#555b83,#9cadb3,404627,81621,419992
Paul_Gauguin,Paul_Gauguin_267.jpg,#5b6a7b,#433829,#6798b1,340161,187447,306952
Paul_Gauguin,Paul_Gauguin_36.jpg,#35393c,#6d7883,#4d555d,231795,364222,147407
Paul_Gauguin,Paul_Gauguin_290.jpg,#6f5736,#5d59a3,#3d4155,241769,155789,360202
Paul_Gauguin,Paul_Gauguin_227.jpg,#8a8476,#3e4a50,#487a96,188979,427050,218531
Paul_Gauguin,Paul_Gauguin_105.jpg,#5a646b,#749fa9,#36322f,321900,273596,275928
Paul_Gauguin,Paul_Gauguin_178.jpg,#fcfdfd,#465b67,#688597,59123,238268,431697
Paul_Gauguin,Paul_Gauguin_66.jpg,#6da3b7,#5d6765,#a08d7c,381986,258971,257091
Paul_Gauguin,Paul_Gauguin_171.jpg,#968d88,#3c4351,#2e74a8,170938,404751,168479
Paul_Gauguin,Paul_Gauguin_164.jpg,#2b2e28,#495962,#7c909d,586302,936346,348200
Paul_Gauguin,Paul_Gauguin_177.jpg,#a6aaa8,#787578,#4f4442,210568,242800,210184
Paul_Gauguin,Paul_Gauguin_46.jpg,#5bdef9,#164051,#3a90b0,1748179,635414,437337
