artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Paul_Klee,Paul_Klee_120.jpg,#52555c,#6068ac,#8c7168,226316,102427,88857
Paul_Klee,Paul_Klee_13.jpg,#4879b3,#27518c,#6b9bd2,202851,93706,139207
Paul_Klee,Paul_Klee_131.jpg,#556270,#293438,#a8c0d6,190463,120407,61530
Paul_Klee,Paul_Klee_114.jpg,#506374,#6e889e,#8db3ca,67081,122038,42881
Paul_Klee,Paul_Klee_6.jpg,#0a120c,#236099,#4b3c2e,34331,58852,342017
Paul_Klee,Paul_Klee_2.jpg,#1c2748,#b4cddf,#405a89,318367,82602,49767
Paul_Klee,Paul_Klee_142.jpg,#4b899c,#20464f,#e3e9eb,114969,293983,339048
Paul_Klee,Paul_Klee_178.jpg,#5d6499,#4e351b,#c0d4e3,237762,405990,230648
Paul_Klee,Paul_Klee_29.jpg,#4a5267,#bbcfde,#4f69cb,322191,148527,46882
Paul_Klee,Paul_Klee_169.jpg,#5b7398,#a4aab6,#373d4b,148408,226001,77591
Paul_Klee,Paul_Klee_167.jpg,#525552,#d3e6de,#738a9b,134831,136865,215504
Paul_Klee,Paul_Klee_47.jpg,#4e4f51,#7a7d95,#cfd3d8,137283,321190,75259
Paul_Klee,Paul_Klee_186.jpg,#4185e9,#222a37,#365785,111526,121918,120056
Paul_Klee,Paul_Klee_1.jpg,#2d416d,#08122c,#4580c8,56893,105132,46550
Paul_Klee,Paul_Klee_30.jpg,#a6d6c6,#4fb4d1,#24769c,132179,164131,244490
Paul_Klee,Paul_Klee_91.jpg,#575c6b,#dee5ec,#9fa9b8,167036,119453,75671
Paul_Klee,Paul_Klee_4.jpg,#3c899a,#a87b17,#0c283d,392908,396090,106358
Paul_Klee,Paul_Klee_23.jpg,#322f1c,#b2bebe,#939279,160342,141570,125288
Paul_Klee,Paul_Klee_78.jpg,#2a5f86,#d9ded9,#182e31,81028,299952,294220
Paul_Klee,Paul_Klee_138.jpg,#afd3de,#597589,#729fe0,73849,427014,379937
Paul_Klee,Paul_Klee_99.jpg,#93aadd,#4e545a,#4f58a3,693288,105423,59289
Paul_Klee,Paul_Klee_176.jpg,#1e3854,#0c0e12,#396dc2,166817,349923,77660
Paul_Klee,Paul_Klee_127.jpg,#2f638a,#1a3d4f,#3982c7,137683,97845,145272
Paul_Klee,Paul_Klee_116.jpg,#e1bcc9,#aa5a40,#0f5eb1,187098,250844,287658
Paul_Klee,Paul_Klee_63.jpg,#434d50,#4f6985,#66c2bd,108400,293107,423253
Paul_Klee,Paul_Klee_83.jpg,#3a6e9f,#16334a,#67b8e2,363544,320455,222401
