artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_240.jpg,#1f3654,#81acce,#46759c,288550,486046,304444
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_142.jpg,#a8efec,#505954,#94a295,244494,374331,188087
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_23.jpg,#262d39,#9faba7,#52797a,251578,372132,262050
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_236.jpg,#303449,#717485,#beb7be,270190,321427,247645
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_22.jpg,#767980,#bbc3c9,#423733,442523,385360,286997
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_29.jpg,#6e706e,#adadaa,#333536,357205,315699,244264
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_62.jpg,#a3b9b7,#30362e,#648d85,95992,437784,341424
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_172.jpg,#537cc4,#263a97,#1a2539,292060,577363,204495
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_156.jpg,#97c3e4,#1d417c,#5081b4,179341,353584,207269
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_40.jpg,#1b2644,#7d9bac,#4c647f,213509,222655,160047
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_231.jpg,#0f2340,#447cb5,#234d75,390504,293348,213916
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_155.jpg,#1f2f2c,#395c77,#6f8ca8,216017,353193,248668
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_168.jpg,#4d77af,#84abcd,#2f487c,271740,498198,280362
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_10.jpg,#457a9f,#9bccc6,#2b363d,147534,462921,260025
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_55.jpg,#9d9ea4,#1e1829,#5c5f6e,310980,212891,321517
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_323.jpg,#15283f,#75a5c3,#497088,266992,363996,200500
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_35.jpg,#326091,#19243f,#4aafe0,261928,263301,258925
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_211.jpg,#2e243b,#a59caa,#656880,287716,507672,465620
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_230.jpg,#5787b3,#28466b,#9ed0eb,287860,180062,231726
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_226.jpg,#58677b,#1e3349,#9fa3b9,500513,336300,191887
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_109.jpg,#1b283b,#618fb4,#304761,402885,263175,205661
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_185.jpg,#b2bec7,#2c4e78,#6a89a8,287733,331050,244971
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_221.jpg,#272035,#3a4e95,#8ca1c6,408989,420641,213566
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_75.jpg,#c0deeb,#527d95,#29333c,692616,1215228,684924
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_198.jpg,#1b2e7c,#3d66b4,#8aa0c4,415788,291529,267083
Pierre-Auguste_Renoir,Pierre-Auguste_Renoir_263.jpg,#486cb3,#192b44,#284685,334774,303676,219054
