artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Piet_Mondrian,Piet_Mondrian_26.jpg,#51707f,#b8c9d3,#152935,127157,194002,156441
Piet_Mondrian,Piet_Mondrian_29.jpg,#7cd2e7,#418ca5,#0c202c,97637,85413,264950
Piet_Mondrian,Piet_Mondrian_20.jpg,#f3f2f1,#080b04,#0c2395,546644,30816,59340
Piet_Mondrian,Piet_Mondrian_46.jpg,#d4d9e0,#465a62,#819fb4,155285,147646,139469
Piet_Mondrian,Piet_Mondrian_58.jpg,#e7eaf1,#060306,#69243f,583012,11633,22955
Piet_Mondrian,Piet_Mondrian_64.jpg,#4f6e83,#c79a8e,#3c4341,177429,129143,214228
Piet_Mondrian,Piet_Mondrian_79.jpg,#151727,#82abc6,#41647f,145429,91418,174353
Piet_Mondrian,Piet_Mondrian_84.jpg,#e7e2df,#19122e,#0ae2f9,442950,129954,74296
Piet_Mondrian,Piet_Mondrian_65.jpg,#cf8e6d,#5d4032,#976158,132075,144444,95481
Piet_Mondrian,Piet_Mondrian_68.jpg,#4c4e9e,#e0cad5,#824d45,324533,223678,178469
Piet_Mondrian,Piet_Mondrian_42.jpg,#e5e6ef,#1bcaf0,#2f2866,439561,132470,77569
Piet_Mondrian,Piet_Mondrian_54.jpg,#6e6b62,#9c9994,#282724,200316,167438,102646
Piet_Mondrian,Piet_Mondrian_17.jpg,#754332,#b78447,#2b2dbc,234892,575274,95834
Piet_Mondrian,Piet_Mondrian_6.jpg,#d5d4cd,#6c8086,#202e3c,229607,184865,122328
Piet_Mondrian,Piet_Mondrian_3.jpg,#903d43,#705cd0,#a57250,325739,365464,208870
Piet_Mondrian,Piet_Mondrian_7.jpg,#166aba,#0e160e,#eeeae7,415565,41179,171664
Piet_Mondrian,Piet_Mondrian_77.jpg,#293680,#282e4e,#2b4eaa,96523,212873,186604
Piet_Mondrian,Piet_Mondrian_48.jpg,#eeecf2,#10081a,#2aa8de,526137,26277,97186
Piet_Mondrian,Piet_Mondrian_37.jpg,#afccc9,#176bea,#2c2c10,153582,126625,242193
Piet_Mondrian,Piet_Mondrian_2.jpg,#577f99,#a3bfce,#1a3c48,145692,124134,102174
Piet_Mondrian,Piet_Mondrian_70.jpg,#4bccef,#2d3841,#c6c6cc,413774,115081,73245
Piet_Mondrian,Piet_Mondrian_25.jpg,#3e7589,#0a2431,#8cc3d9,178334,129251,226015
Piet_Mondrian,Piet_Mondrian_62.jpg,#3d3544,#6c6f87,#9fb8d3,161627,225537,116836
Piet_Mondrian,Piet_Mondrian_8.jpg,#ba9755,#3e2824,#92652e,144299,185157,126544
Piet_Mondrian,Piet_Mondrian_43.jpg,#3b68c3,#152d73,#6bb9f0,38175,37227,55798
Piet_Mondrian,Piet_Mondrian_52.jpg,#344dca,#d9b38e,#bc9dcb,129327,203977,124296
Piet_Mondrian,Piet_Mondrian_30.jpg,#b5c5da,#2b293c,#57587f,133070,282988,59142
