artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Rembrandt,Rembrandt_230.jpg,#464d55,#1e222a,#72818f,408724,318270,114734
Rembrandt,Rembrandt_254.jpg,#536778,#16151b,#cadae2,959964,745021,133415
Rembrandt,Rembrandt_143.jpg,#536887,#141210,#b4bbbd,1570090,177559,165951
Rembrandt,Rembrandt_204.jpg,#6cabcd,#0c151c,#1d394b,826851,374280,154769
Rembrandt,Rembrandt_57.jpg,#132541,#0c1217,#3f77a5,602123,210392,30237
Rembrandt,Rembrandt_259.jpg,#111520,#2e5794,#e8f4f9,20842,145639,906591
Rembrandt,Rembrandt_44.jpg,#10161e,#9ebbc4,#4c677a,755247,49816,54073
Rembrandt,Rembrandt_214.jpg,#546d7d,#212a34,#c6dae2,129644,207183,513093
Rembrandt,Rembrandt_153.jpg,#3a3636,#8fb0c2,#141415,275878,429060,67158
Rembrandt,Rembrandt_11.jpg,#1c1a1e,#5a92bf,#31435f,712073,86182,31185
Rembrandt,Rembrandt_58.jpg,#334068,#19171d,#80a0bd,509574,211929,101793
Rembrandt,Rembrandt_182.jpg,#2d415b,#1a1c22,#82a4c1,800071,124328,36113
Rembrandt,Rembrandt_150.jpg,#0b1415,#1a5070,#31abe1,901254,199808,162514
Rembrandt,Rembrandt_115.jpg,#3a8398,#081112,#ddecee,192416,240581,1666613
Rembrandt,Rembrandt_111.jpg,#3b4446,#191a1b,#89a0ab,554335,247478,35819
Rembrandt,Rembrandt_83.jpg,#4b6270,#080e10,#9bb3be,4488969,400506,545481
Rembrandt,Rembrandt_75.jpg,#0c171e,#6294bf,#244960,62502,419110,365236
Rembrandt,Rembrandt_192.jpg,#15171a,#bdcad2,#4e6b8b,663354,63636,99378
Rembrandt,Rembrandt_30.jpg,#133958,#0a1620,#1f7cc4,483108,1280737,251516
Rembrandt,Rembrandt_119.jpg,#30516c,#10151b,#fcfdfd,177224,388138,441882
Rembrandt,Rembrandt_13.jpg,#33384b,#22161d,#4e7893,472742,275664,60554
Rembrandt,Rembrandt_45.jpg,#87b0bf,#24313a,#11151a,177831,560187,34078
Rembrandt,Rembrandt_163.jpg,#637689,#3a424d,#26242b,305824,188910,276338
Rembrandt,Rembrandt_128.jpg,#5989b5,#142735,#e8f2f2,73428,45588,640792
Rembrandt,Rembrandt_91.jpg,#557785,#0a1217,#1b2c3c,949313,4661240,289127
Rembrandt,Rembrandt_126.jpg,#3c6382,#11121a,#f1f6f9,79251,218913,474956
Rembrandt,Rembrandt_34.jpg,#100f13,#212d41,#7c93a0,670445,262564,26479
Rembrandt,Rembrandt_103.jpg,#141415,#606a6e,#adb7c5,610631,143659,45454
Rembrandt,Rembrandt_229.jpg,#203153,#4e7dae,#0e1124,2083603,3027940,177169
Rembrandt,Rembrandt_173.jpg,#181e26,#546a80,#abbfc9,789825,38499,46172
Rembrandt,Rembrandt_149.jpg,#b0c5d1,#37414d,#0e1017,265989,1266984,61107
Rembrandt,Rembrandt_247.jpg,#171a20,#87aab3,#364d5f,539536,177117,77971
Rembrandt,Rembrandt_39.jpg,#18202f,#47729d,#233a56,483887,249625,86488
Rembrandt,Rembrandt_262.jpg,#0d1a21,#325b66,#152f3e,101631,241412,429053
Rembrandt,Rembrandt_100.jpg,#2a3f47,#0b1418,#81a8ca,37564,376385,404227
Rembrandt,Rembrandt_198.jpg,#081225,#9bc7d1,#116895,458757,227549,1392694
Rembrandt,Rembrandt_221.jpg,#050f25,#1a375f,#387bb7,562638,237562,59960
Rembrandt,Rembrandt_116.jpg,#b4c3d6,#364d64,#100b0d,108044,527377,48611
Rembrandt,Rembrandt_211.jpg,#1b2939,#74a2b3,#e8f2f4,72134,212875,582319
Rembrandt,Rembrandt_20.jpg,#110b16,#363d55,#b3c2c7,352103,422309,66292
Rembrandt,Rembrandt_65.jpg,#232928,#365663,#a0d0e3,666289,1027073,82638
Rembrandt,Rembrandt_239.jpg,#19191e,#3b82bd,#2b2f5d,632312,122286,28762
Rembrandt,Rembrandt_152.jpg,#9dcef0,#1e1f22,#495566,927963,70757,941680
Rembrandt,Rembrandt_205.jpg,#758690,#283448,#121318,136421,669946,15905
Rembrandt,Rembrandt_193.jpg,#140d0f,#97a3b5,#444550,595709,174026,41273
Rembrandt,Rembrandt_79.jpg,#1f3041,#41617a,#101419,490619,229932,104793
Rembrandt,Rembrandt_223.jpg,#809999,#324751,#0f1217,513375,214298,106887
Rembrandt,Rembrandt_105.jpg,#070f0e,#deeef0,#387189,179106,206672,1680334
Rembrandt,Rembrandt_132.jpg,#94a1ad,#1f1c1c,#525a5f,534426,157268,151058
Rembrandt,Rembrandt_25.jpg,#15111c,#1a2750,#517ba8,689893,108479,12636
Rembrandt,Rembrandt_118.jpg,#3a61a1,#17182b,#fdfdfe,193160,82211,764474
Rembrandt,Rembrandt_164.jpg,#3f4f4e,#8eb1c7,#030404,158166,564502,33044
Rembrandt,Rembrandt_90.jpg,#637680,#202225,#bd783b,130789,168789,670150
Rembrandt,Rembrandt_246.jpg,#607793,#1e2837,#101217,141807,696215,21114
Rembrandt,Rembrandt_62.jpg,#0a1211,#233844,#7296ac,376957,510124,39639
Rembrandt,Rembrandt_217.jpg,#9bbdbd,#3b3e3a,#5a767e,287873,273218,229437
Rembrandt,Rembrandt_14.jpg,#557696,#2c3143,#1f1e2a,385409,393558,33065
Rembrandt,Rembrandt_97.jpg,#161316,#87a6ce,#354360,696706,113767,108055
Rembrandt,Rembrandt_112.jpg,#5f758b,#c4cbd2,#1e2534,262218,236584,288654
Rembrandt,Rembrandt_85.jpg,#081b24,#74c7e9,#0e476a,69149,575725,1420131
Rembrandt,Rembrandt_188.jpg,#1d1926,#366688,#9ec8da,1156111,317126,157743
Rembrandt,Rembrandt_5.jpg,#1a2845,#5080b5,#0e1223,19951,200929,688432
Rembrandt,Rembrandt_144.jpg,#155f81,#131516,#1d3649,311094,269291,275679
Rembrandt,Rembrandt_86.jpg,#02030a,#1e629d,#0e203b,485503,269055,99458
Rembrandt,Rembrandt_250.jpg,#314262,#262a2f,#4481b6,887967,203179,40710
Rembrandt,Rembrandt_169.jpg,#131918,#94afbd,#3a5262,538465,229356,86195
Rembrandt,Rembrandt_234.jpg,#05121b,#84abaf,#0d435d,496477,287130,86793
Rembrandt,Rembrandt_21.jpg,#245369,#1a1a1a,#359ad4,371513,488926,641233
Rembrandt,Rembrandt_146.jpg,#11151a,#7393b2,#243643,540512,189050,38438
Rembrandt,Rembrandt_92.jpg,#161718,#162a4e,#65a1be,681066,157165,10665
Rembrandt,Rembrandt_7.jpg,#0d0b11,#306ab2,#14234c,572277,149743,52124
Rembrandt,Rembrandt_49.jpg,#21456d,#3478a5,#192b4c,226635,355029,80864
Rembrandt,Rembrandt_171.jpg,#90cfe5,#1c2025,#395067,1246100,391681,158321
Rembrandt,Rembrandt_8.jpg,#1a1b25,#233043,#4a6f8d,524097,275379,26892
Rembrandt,Rembrandt_59.jpg,#0b1020,#2a4f8d,#18274d,595400,265280,99832
Rembrandt,Rembrandt_26.jpg,#15293c,#4574a9,#0b1319,335964,23072,519556
Rembrandt,Rembrandt_177.jpg,#160e15,#382b48,#757ab3,1216759,495922,96269
Rembrandt,Rembrandt_253.jpg,#8c999f,#1a3a55,#566f7a,708837,557197,1142641
Rembrandt,Rembrandt_136.jpg,#3c4145,#15191d,#6e8aa0,229902,26630,620012
Rembrandt,Rembrandt_51.jpg,#273952,#1a1a19,#75a2bb,379068,22416,422836
Rembrandt,Rembrandt_106.jpg,#99c9e6,#284864,#09141d,166476,546996,64768
Rembrandt,Rembrandt_207.jpg,#151e24,#9bbac4,#52676f,474406,227618,121272
Rembrandt,Rembrandt_23.jpg,#4b7db1,#1e395a,#0d1318,31287,839477,13972
Rembrandt,Rembrandt_208.jpg,#4c85b5,#08080c,#1e2e4b,916489,271418,71793
Rembrandt,Rembrandt_80.jpg,#1d4465,#0c1114,#5f9cc3,513238,1224613,183749
Rembrandt,Rembrandt_120.jpg,#629ec2,#f7f9fc,#1a2432,212485,276892,536611
Rembrandt,Rembrandt_190.jpg,#1c181b,#8b9ebf,#383c43,413465,308377,58446
Rembrandt,Rembrandt_41.jpg,#578ba2,#0b121a,#162c3d,594110,166535,19643
Rembrandt,Rembrandt_37.jpg,#1f3559,#050413,#9cb2d4,1700025,352010,63165
Rembrandt,Rembrandt_141.jpg,#1e2021,#8ca1ae,#38434c,524563,229766,54631
Rembrandt,Rembrandt_73.jpg,#477195,#141a27,#233750,413035,367357,124824
Rembrandt,Rembrandt_165.jpg,#183950,#639bae,#386981,1499001,1993790,1442265
Rembrandt,Rembrandt_174.jpg,#769dbd,#31414d,#101920,246947,806545,94412
Rembrandt,Rembrandt_244.jpg,#272c3a,#85bbd0,#221516,812952,883325,64591
Rembrandt,Rembrandt_161.jpg,#33515d,#14171c,#94b3ba,625735,138713,63968
Rembrandt,Rembrandt_117.jpg,#131720,#fbfcfd,#4776a2,172427,683976,112013
Rembrandt,Rembrandt_215.jpg,#1f2232,#3b578d,#f2f7fc,39862,159078,619310
Rembrandt,Rembrandt_36.jpg,#091219,#648bac,#203442,666524,214133,31727
Rembrandt,Rembrandt_200.jpg,#72c6db,#467c8c,#182b37,137071,274175,387474
Rembrandt,Rembrandt_228.jpg,#354961,#131416,#7daad9,238881,22971,394248
Rembrandt,Rembrandt_24.jpg,#22313e,#171b21,#567ca0,258829,534830,26565
Rembrandt,Rembrandt_137.jpg,#181720,#8ab6cf,#365477,456121,113407,70992
Rembrandt,Rembrandt_194.jpg,#344869,#1e212a,#92adc4,394780,186662,16158
Rembrandt,Rembrandt_88.jpg,#486373,#2d3c45,#121517,314781,399493,238046
Rembrandt,Rembrandt_224.jpg,#64716f,#1a242f,#a6bcbb,541023,188974,141427
Rembrandt,Rembrandt_216.jpg,#123857,#081214,#1c8bc7,1386009,447061,119921
Rembrandt,Rembrandt_176.jpg,#6994ad,#2b3642,#1b161a,196167,566728,55281
Rembrandt,Rembrandt_93.jpg,#c8cecf,#161012,#6d7b8d,689783,71698,133495
Rembrandt,Rembrandt_162.jpg,#92acb3,#425152,#191309,128290,574358,74352
Rembrandt,Rembrandt_96.jpg,#0b0b0e,#303a42,#9cbac8,548896,203025,21199
Rembrandt,Rembrandt_33.jpg,#1f2732,#758ca4,#110f13,383110,424713,31857
Rembrandt,Rembrandt_170.jpg,#234260,#0c111d,#679ec5,1601180,541731,193089
Rembrandt,Rembrandt_64.jpg,#e2ebee,#0e0a0e,#32598e,1661290,32425,22873
Rembrandt,Rembrandt_66.jpg,#141d2b,#4379b0,#1c3062,544780,168581,51567
Rembrandt,Rembrandt_135.jpg,#252927,#92aebb,#42647a,720119,141988,109669
Rembrandt,Rembrandt_12.jpg,#060b16,#0a2341,#174876,313176,527082,108990
Rembrandt,Rembrandt_10.jpg,#2a2b39,#4789af,#2f4e6f,1287185,326956,177195
Rembrandt,Rembrandt_231.jpg,#0a0a17,#4976a5,#192338,1184894,82720,414583
Rembrandt,Rembrandt_67.jpg,#406484,#0d1e36,#080a0c,381309,444268,56087
Rembrandt,Rembrandt_28.jpg,#0e2759,#0c0d15,#1d5991,4125296,2326475,1141229
Rembrandt,Rembrandt_252.jpg,#687e85,#0d1622,#243b53,154413,144488,506987
Rembrandt,Rembrandt_195.jpg,#0c0d10,#2a4760,#73acc5,659990,170533,29637
Rembrandt,Rembrandt_218.jpg,#121921,#8aa9bd,#49606e,920554,1950379,1915067
Rembrandt,Rembrandt_99.jpg,#454654,#2d2224,#58768d,223827,152971,456802
Rembrandt,Rembrandt_219.jpg,#6b96a2,#0b1e1c,#2b4d53,212512,461065,73943
Rembrandt,Rembrandt_251.jpg,#070b0e,#173f70,#7cb1d8,1697988,256643,81709
Rembrandt,Rembrandt_160.jpg,#718da1,#0c1012,#202b33,2200486,778771,191871
Rembrandt,Rembrandt_191.jpg,#152152,#020204,#407ecf,826688,64205,18405
Rembrandt,Rembrandt_201.jpg,#070d16,#6387ac,#1f3950,611033,111798,46193
Rembrandt,Rembrandt_196.jpg,#6caccd,#141910,#224253,703825,143937,28782
Rembrandt,Rembrandt_199.jpg,#273766,#0b0c17,#6395c7,660249,102919,44768
Rembrandt,Rembrandt_159.jpg,#0c1b25,#2878a9,#183e59,516761,263277,47354
Rembrandt,Rembrandt_138.jpg,#5680c0,#3a435d,#1e1518,83260,138065,49875
Rembrandt,Rembrandt_175.jpg,#274660,#0c1421,#74b0d5,466078,220909,65653
Rembrandt,Rembrandt_202.jpg,#242116,#313130,#618dac,383212,427007,30485
Rembrandt,Rembrandt_3.jpg,#0f2248,#5f91b9,#1f4079,2575422,2161000,563818
Rembrandt,Rembrandt_78.jpg,#131517,#313d47,#4e7492,459261,334005,64846
Rembrandt,Rembrandt_168.jpg,#120a15,#53aadd,#183257,1207287,294202,144251
Rembrandt,Rembrandt_31.jpg,#1a1a1c,#899fb1,#37434c,780364,63725,27335
Rembrandt,Rembrandt_54.jpg,#1b2d40,#0f151e,#356385,1215109,613877,99414
Rembrandt,Rembrandt_139.jpg,#495d71,#080d11,#243242,196863,210424,563465
Rembrandt,Rembrandt_225.jpg,#10283a,#437a99,#070e12,118008,660557,26299
Rembrandt,Rembrandt_130.jpg,#8aa3ba,#303943,#141717,88347,685634,57507
Rembrandt,Rembrandt_1.jpg,#174a8a,#6aabd7,#111c33,409086,868326,341088
Rembrandt,Rembrandt_69.jpg,#252121,#3f4357,#7d8ca6,156020,656400,31580
Rembrandt,Rembrandt_27.jpg,#0a0a1e,#5397d2,#1b2447,1363512,433984,41054
Rembrandt,Rembrandt_48.jpg,#0e151e,#8fa7c2,#234169,374496,308263,25849
Rembrandt,Rembrandt_2.jpg,#232428,#7e9cb4,#40506c,248726,101976,675298
