artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Titian,Titian_122.jpg,#272137,#43537b,#849ab8,152244,209314,86954
Titian,Titian_161.jpg,#172532,#48535a,#8591a6,265467,427230,76327
Titian,Titian_189.jpg,#455a6c,#7fa8bd,#191c22,250848,480764,171556
Titian,Titian_183.jpg,#28425c,#b4bebb,#557a95,407317,260600,375539
Titian,Titian_68.jpg,#12131d,#9cb2c7,#4e6683,605120,86815,141601
Titian,Titian_181.jpg,#4b5b77,#20273f,#8aa1bc,592043,459820,223137
Titian,Titian_210.jpg,#344c7f,#6090c4,#15162b,514508,275585,255107
Titian,Titian_171.jpg,#768499,#32445b,#202226,362324,383028,159864
Titian,Titian_166.jpg,#4e6779,#a7bbbe,#131d28,410197,122317,162782
Titian,Titian_77.jpg,#151f25,#7194a2,#404a6b,487205,159292,230047
Titian,Titian_52.jpg,#675c5e,#9c9ca0,#192d3b,278746,515584,154918
Titian,Titian_207.jpg,#191310,#859cb2,#26496b,389672,229799,204849
Titian,Titian_32.jpg,#475961,#1d2d30,#8aa8b6,368632,531319,67729
Titian,Titian_226.jpg,#434854,#23252c,#6185b1,314917,79908,571831
Titian,Titian_140.jpg,#e2bf90,#1c2737,#6d98bc,381967,141075,143582
Titian,Titian_186.jpg,#3a55ab,#b0ccd2,#232732,468920,188019,185813
Titian,Titian_251.jpg,#536a94,#22274f,#98b6d0,299741,372610,174497
Titian,Titian_192.jpg,#162538,#aabecd,#446072,475834,260066,105828
Titian,Titian_179.jpg,#2f336d,#3c62c2,#1c140b,610754,88319,76927
Titian,Titian_72.jpg,#529dda,#0b0b11,#1a3144,416005,445748,25031
Titian,Titian_54.jpg,#293941,#9aafc2,#141a1a,366411,357289,39180
Titian,Titian_6.jpg,#8297b9,#121219,#3d465e,469012,522164,303324
Titian,Titian_131.jpg,#3a3c58,#85a0bf,#221d2a,57720,516991,608489
Titian,Titian_75.jpg,#151d1a,#5f8593,#334f56,608687,189005,114692
Titian,Titian_237.jpg,#2a3744,#a3cfe0,#547693,300496,191478,158426
Titian,Titian_23.jpg,#828ea7,#0b090c,#4a495a,376120,651967,455113
Titian,Titian_28.jpg,#202a32,#b7bfc2,#435e7d,399216,249910,169050
Titian,Titian_248.jpg,#191f21,#97b0bb,#345575,130764,110307,174673
Titian,Titian_234.jpg,#48546b,#100f1d,#8399ac,562683,179546,118033
Titian,Titian_211.jpg,#3e2b1b,#849cbc,#3f525f,460179,277803,61762
Titian,Titian_193.jpg,#0f1825,#9db7c2,#3a6e85,495586,217178,150468
Titian,Titian_235.jpg,#0c202a,#a6bcd6,#3f6b84,526568,233323,150445
Titian,Titian_202.jpg,#1f4b78,#0a182c,#60a0ce,198843,459894,212687
Titian,Titian_206.jpg,#5e7279,#2d373c,#9cb0b9,520471,352117,166772
Titian,Titian_196.jpg,#93adb1,#201824,#495a79,202334,137797,237405
Titian,Titian_241.jpg,#556d6a,#9baab1,#203234,237713,525458,120541
Titian,Titian_53.jpg,#83b8d4,#49647d,#141511,142219,980460,51321
Titian,Titian_138.jpg,#1a252b,#3c5d67,#869aae,119358,248085,486573
Titian,Titian_71.jpg,#3b4257,#191824,#8297b2,845991,485379,140630
Titian,Titian_198.jpg,#1a2634,#90aec0,#43677e,392910,113248,125650
Titian,Titian_92.jpg,#292a7f,#110e17,#7c9dc2,195989,64041,8945
Titian,Titian_133.jpg,#1e273a,#8db6cd,#466991,290304,432266,354030
Titian,Titian_95.jpg,#17212c,#13349e,#5b90b7,424320,359849,62679
Titian,Titian_164.jpg,#262d43,#0c0a14,#4e6a99,530595,963416,179989
Titian,Titian_170.jpg,#938374,#bbbcb6,#2f2c27,266611,444388,221865
Titian,Titian_194.jpg,#374c67,#100e16,#75a2bf,729650,239960,186620
Titian,Titian_255.jpg,#90a0c4,#272827,#525a77,405365,268113,155962
Titian,Titian_2.jpg,#1f2022,#618492,#41525e,352976,302855,242217
Titian,Titian_205.jpg,#386177,#102538,#82a5c0,315288,426019,144453
Titian,Titian_224.jpg,#13202f,#455a76,#98a5b7,451817,289236,566847
Titian,Titian_139.jpg,#313944,#5a7380,#8bb7cc,297331,524748,134337
Titian,Titian_154.jpg,#1c1c2d,#e6e9f1,#4d5880,33256,544354,798390
Titian,Titian_4.jpg,#1a1422,#375083,#77b4d4,499595,201934,105383
Titian,Titian_121.jpg,#1b2120,#83b6c0,#3c6c7f,72561,60903,649896
