artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_60.jpg,#86bbd8,#403a40,#647687,64736,57052,66452
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_68.jpg,#3a4737,#e6e6d6,#53a5dc,137223,229724,338053
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_48.jpg,#67738d,#cedde3,#282831,169565,269022,342613
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_4.jpg,#a4b6bf,#37364e,#4576aa,219979,67035,365486
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_14.jpg,#81afab,#45392d,#eff3d6,99218,265312,115470
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_57.jpg,#36515d,#799aa1,#0c1013,131115,100072,217709
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_17.jpg,#8ebed3,#928976,#412e2a,173717,198984,359299
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_84.jpg,#c8d6e0,#3a322f,#888997,382268,199563,151169
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_45.jpg,#749ca9,#2e3d50,#c6e6eb,435189,177131,145680
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_72.jpg,#acb9c1,#666e87,#38282b,223481,190951,216568
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_39.jpg,#6a7fb1,#242625,#cdd5e6,310578,258310,193112
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_8.jpg,#2e2e37,#e4f2f7,#7699b9,93763,452168,155069
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_7.jpg,#8dbeda,#272a32,#1f5aaa,245200,356868,268793
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_20.jpg,#bed3dd,#504a68,#4a7bb6,275106,196502,164742
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_32.jpg,#afb8c0,#283a4f,#7f909c,331669,293483,104848
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_61.jpg,#3c4d77,#97bee0,#668ebf,139536,171609,88455
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_10.jpg,#5d7da5,#1a3756,#aec5d6,131961,135347,144692
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_33.jpg,#474948,#cbd3d9,#7f7d7d,243618,209940,116142
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_52.jpg,#28251a,#94bace,#67697a,144801,143352,235097
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_78.jpg,#17aee4,#26233b,#c5e4e7,84337,231576,114529
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_11.jpg,#a8cfdc,#344573,#25adec,89744,241882,61374
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_58.jpg,#addee7,#303136,#6888a7,197634,153819,325203
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_55.jpg,#c8d4e1,#6892cd,#47425e,246154,210062,182884
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_62.jpg,#46879d,#96b1c9,#3f6778,208603,173677,60920
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_38.jpg,#5a8aaf,#d5e8ee,#2d4355,130016,400811,289973
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_19.jpg,#e2f5f1,#5b5477,#151d3d,49090,359424,41166
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_59.jpg,#afa6aa,#3085c3,#1e3a4e,100268,154515,153417
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_70.jpg,#b1cdd9,#4786be,#373658,190165,284828,116757
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_30.jpg,#212a33,#e2eaea,#5e7995,138559,280996,386845
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_36.jpg,#293848,#4e86e1,#967b75,102485,145867,131946
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_31.jpg,#6783ae,#e8e7ea,#2e3b44,339963,216947,110090
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_82.jpg,#3e2f42,#a1bece,#737595,274427,290747,203826
Vasiliy_Kandinskiy,Vasiliy_Kandinskiy_27.jpg,#14181b,#b0aec0,#618894,92299,101547,92539
